#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_0MRKTX2B	AFR		0.0000	0.9985	0.0015	0.0000	0.0000	49.4319	-11.5963	-0.4004	3.0502	-3.0130	-1.0524	0.7922	-1.9241	4.1812	-1.4313
BS_0P2FRMSA	EUR		0.0000	0.0000	0.0249	0.0000	0.9751	-0.0362	11.8480	4.5864	8.2549	-3.9208	-0.6262	2.7894	0.3007	4.1718	1.9867
BS_0P3S5YJQ	AMR		0.0000	0.0127	0.9873	0.0000	0.0000	1.6798	-0.8767	11.4203	-3.8914	-4.2001	-2.2803	2.6680	0.0584	4.3127	-1.1612
BS_0PB4PTHT	EUR		0.0000	0.0000	0.0460	0.0000	0.9540	0.1247	10.5678	2.5303	6.7864	-2.4736	-3.4536	2.2317	-0.8907	4.9226	-2.0624
BS_0QP42DN4	AMR		0.0000	0.0075	0.9925	0.0000	0.0000	2.7572	0.0997	6.9548	-6.0586	-2.1679	-2.9619	1.0740	-1.4021	3.4202	-0.8803
BS_0R4R9C2K	AFR		0.0000	0.9994	0.0006	0.0000	0.0000	53.0956	-14.7973	1.5782	1.9566	-3.1008	-1.1976	1.4859	-1.2307	4.1084	-0.8848
BS_0RF0G9SQ	EUR		0.0000	0.0000	0.0582	0.0000	0.9418	2.7057	9.9922	6.2997	8.6966	-2.6118	-0.4193	2.3071	-0.7442	2.9066	-0.4060
BS_0RVVY4PS	AFR		0.0000	0.9998	0.0002	0.0000	0.0000	57.4529	-14.7905	0.2621	1.2747	-3.3418	-0.6742	2.8773	1.1804	3.9276	-0.7563
BS_0TCRV9AC	AFR		0.0000	0.5814	0.4185	0.0000	0.0000	24.3574	0.4880	3.6103	4.7190	-3.9462	-2.5776	-0.0224	-0.1937	5.3522	0.2750
BS_0TEYTQJY	EUR		0.0000	0.0000	0.0237	0.0000	0.9763	0.9132	12.7814	4.2217	8.1376	-1.5440	-1.9775	4.5369	-0.5287	2.4874	-0.1399
BS_0TTQDZ2K	EUR		0.0000	0.0000	0.0468	0.0000	0.9532	4.0718	11.4568	6.0600	9.6442	-2.4454	-3.9063	0.0258	0.5330	5.0755	-2.3476
BS_0TX5YDGH	EUR		0.0000	0.0000	0.0151	0.0000	0.9849	0.3581	12.0511	3.0026	8.8995	-2.7582	-0.6129	1.8353	-1.7024	3.5037	-2.2973
BS_0V76MCTW	EUR		0.0000	0.0000	0.0244	0.0000	0.9756	1.1407	11.3646	3.8094	8.6258	-3.2707	-0.9156	2.3433	-0.4843	3.6523	-2.7435
