#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG01067	AMR	AMR	0.0006	0.0010	0.5022	0.0026	0.4935	6.0305	3.4172	6.5848	4.0153	-0.5545
HG01131	AMR	AMR	0.0007	0.0009	0.9081	0.0006	0.0897	3.2755	0.7251	9.7596	-3.6230	5.9498
NA18638	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3550	-43.4453	2.1820	7.7428	5.7970
HG04185	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5370	-9.0614	-22.0549	-4.3770	3.4711
HG02272	AMR	AMR	0.0000	0.0003	0.9997	0.0000	0.0000	-8.3477	-25.9233	25.7434	-41.1962	-0.0996
HG01977	AMR	AMR	0.0000	0.0011	0.9989	0.0000	0.0000	-6.0356	-17.0737	19.3533	-30.9304	1.5829
NA12006	EUR	EUR	0.0000	0.0000	0.0028	0.0000	0.9972	-1.0833	12.4417	5.5956	7.7533	2.3391
HG02064	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0116	-43.3071	1.2297	7.5326	-1.8469
NA20540	EUR	EUR	0.0000	0.0000	0.0022	0.0000	0.9978	1.8225	14.7166	4.0638	6.6987	4.2880
HG02233	EUR	EUR	0.0000	0.0000	0.0436	0.0000	0.9564	1.0271	12.4354	5.9103	10.1570	2.3089
HG01779	EUR	EUR	0.0000	0.0000	0.0070	0.0000	0.9930	2.2906	12.8942	5.3407	11.8956	3.0763
HG02256	AFR	AFR	0.0000	0.9989	0.0011	0.0000	0.0000	48.7162	-11.7378	1.7924	1.2483	2.1720
NA20509	EUR	EUR	0.0000	0.0000	0.0079	0.0000	0.9921	2.0670	11.3259	5.5687	9.1901	1.7254
HG01858	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0567	-43.2930	1.0668	8.6782	-1.7691
NA10851	EUR	EUR	0.0000	0.0000	0.2361	0.0000	0.7639	0.1177	13.8758	6.5780	9.4355	3.3185
HG02501	AFR	AFR	0.0000	0.9684	0.0316	0.0000	0.0000	50.3811	-10.6328	0.9389	3.2374	4.9545
HG01863	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1609	-44.8939	1.0718	7.0929	-4.4615
HG03007	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6271	-11.6605	-17.9786	-3.7620	3.3104
HG00451	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0240	-45.0214	2.0155	6.7473	2.8983
HG01444	AMR	AMR	0.0000	0.0043	0.9955	0.0000	0.0001	6.0481	-2.6444	10.7463	-5.5809	2.6458
NA12750	EUR	EUR	0.0000	0.0000	0.0051	0.0000	0.9949	0.5833	12.9080	5.5989	9.5757	4.4348
HG02462	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	59.6861	-15.8840	0.5341	1.0387	-0.0458
HG03913	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.2695	-10.8224	-16.8511	-3.7487	1.7758
HG02545	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	58.7595	-14.5108	-0.7855	2.2365	3.1675
HG03790	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0184	-7.9454	-21.7580	-4.9829	3.2372
HG02277	AMR	AMR	0.0000	0.0008	0.9992	0.0000	0.0000	-5.9341	-15.4147	18.1218	-23.5403	5.3732
NA20878	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0035	-7.0686	-20.6312	-3.2213	5.5985
HG04238	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3937	-6.9769	-20.2611	-4.5490	1.7760
NA19175	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	62.7058	-17.6346	0.5938	1.1277	1.9200
NA19081	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4597	-41.3868	1.6394	4.2379	10.2362
HG03378	AFR	AFR	0.0000	0.9978	0.0022	0.0000	0.0000	62.1800	-18.5204	-0.6290	1.5220	4.3944
HG01052	AMR	AMR	0.0000	0.1567	0.8432	0.0000	0.0001	13.2113	-1.0227	8.9075	-1.0026	3.4910
NA19435	AFR	AFR	0.0000	0.9994	0.0006	0.0000	0.0000	58.7957	-17.6518	-0.1477	0.4183	4.4609
HG02512	EAS	EAS	0.9997	0.0000	0.0000	0.0003	0.0000	-6.6025	-43.1053	-0.3899	7.5739	-4.0485
HG03733	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.5076	-8.2263	-21.2592	-4.2986	7.6052
HG02285	AMR	AMR	0.0000	0.0004	0.9996	0.0000	0.0000	-3.9802	-16.3297	21.4703	-29.3605	-0.3412
HG00371	EUR	EUR	0.0000	0.0000	0.0045	0.0000	0.9955	0.0693	7.1336	4.0099	9.4346	3.9647
HG02536	AFR	AFR	0.0000	0.9932	0.0068	0.0000	0.0000	51.3641	-12.2185	1.4555	2.6981	1.0348
NA19001	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7016	-43.2496	4.9650	5.5918	12.0414
NA20531	EUR	EUR	0.0000	0.0000	0.0193	0.0000	0.9807	1.2632	10.6742	4.6001	8.8934	5.1437
HG02562	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	61.5902	-17.3107	-1.2341	1.1334	1.3908
HG03027	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3317	-18.4914	0.5041	1.7289	1.3745
NA18507	AFR	AFR	0.0000	0.9988	0.0012	0.0000	0.0000	63.0179	-18.0312	0.1477	1.1496	3.5037
HG01348	AMR	AMR	0.0000	0.0027	0.9973	0.0000	0.0000	0.0536	-3.3860	13.1635	-11.4049	2.8264
NA18867	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.7936	-17.7019	-0.4075	2.1316	0.7441
HG02982	AFR	AFR	0.0000	0.9986	0.0014	0.0000	0.0000	60.9340	-17.2635	-1.0473	1.9600	1.4771
HG02513	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4825	-43.8817	0.6465	9.0602	-5.1492
NA19318	AFR	AFR	0.0000	0.9987	0.0013	0.0000	0.0000	59.9775	-16.8128	-1.0143	2.0737	1.7430
NA18557	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7379	-42.3593	2.2246	6.4508	5.5245
NA20778	EUR	EUR	0.0000	0.0000	0.0117	0.0000	0.9883	0.4842	11.9395	4.6638	11.3832	1.9864
