#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA19747	AMR	AMR	0.0000	0.0006	0.9994	0.0000	0.0000	-2.7441	-8.3129	14.1956	-15.2122	4.1188
HG03729	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.2856	-8.0880	-20.7491	-5.3809	1.3648
HG01140	AMR	AMR	0.0000	0.0018	0.9982	0.0000	0.0000	1.6766	2.2734	8.5339	-3.6231	-0.9436
HG00881	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7594	-44.6816	0.2398	10.5725	-2.2126
NA20783	EUR	EUR	0.0000	0.0000	0.0028	0.0000	0.9972	0.9351	12.8672	4.0087	10.1388	1.7244
HG01853	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.7651	-44.4177	-0.5056	6.3005	-2.1575
NA06984	EUR	EUR	0.0000	0.0000	0.0024	0.0000	0.9976	0.0546	12.1259	5.7079	10.0771	4.6102
HG01323	EUR	AMR	0.0000	0.0000	0.2302	0.0000	0.7698	5.5710	5.1584	9.6413	0.0292	0.4480
NA19189	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	64.0982	-16.1007	-0.1325	1.0402	3.0335
HG02345	AMR	AMR	0.0000	0.0160	0.9840	0.0000	0.0000	0.0763	-11.4519	11.4198	-14.2035	2.1995
HG02236	EUR	EUR	0.0000	0.0000	0.0243	0.0000	0.9757	2.4830	11.4168	5.2694	10.3269	-0.7265
HG00663	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4261	-44.1877	1.7426	6.3513	-2.5733
HG03908	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7463	-10.8217	-18.1767	-5.3698	4.4743
HG01248	AMR	AMR	0.0000	0.0066	0.9648	0.0004	0.0282	6.9088	5.2411	6.0043	2.9034	-3.2952
NA20771	EUR	EUR	0.0000	0.0000	0.1026	0.0000	0.8974	0.8857	11.4158	4.1208	9.5107	3.4965
HG02922	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	62.6473	-16.8490	0.9519	1.0200	3.9066
HG03920	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.5544	-9.3485	-16.7737	-2.6302	0.7351
HG01124	AMR	AMR	0.0000	0.0003	0.9997	0.0000	0.0000	8.9598	-3.1010	9.5140	-6.6892	3.8254
NA11931	EUR	EUR	0.0000	0.0000	0.0608	0.0000	0.9391	1.1807	12.1093	5.0977	8.7751	0.0769
NA19921	AFR	AFR	0.0000	0.9387	0.0613	0.0000	0.0000	33.3671	-9.9517	2.8931	1.4923	5.3595
NA18562	EAS	EAS	0.9845	0.0001	0.0154	0.0000	0.0000	-7.7565	-44.6050	3.5433	4.7871	5.2585
HG02224	EUR	EUR	0.0000	0.0000	0.2046	0.0000	0.7953	-0.1948	13.0418	5.4600	9.8955	4.5542
NA19011	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6590	-42.7299	3.5224	5.7543	8.4779
NA18940	EAS	EAS	0.9990	0.0000	0.0010	0.0000	0.0000	-7.0686	-43.4267	2.0345	5.8327	12.5455
NA19147	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	62.3737	-17.4155	-0.2327	0.5519	1.5014
HG02445	AFR	AFR	0.0000	0.9983	0.0017	0.0000	0.0000	51.8206	-12.2421	0.8264	2.7543	2.3876
HG03851	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3046	-9.3237	-19.2154	-4.4798	5.3594
HG02722	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	62.1763	-16.7218	-0.1665	2.1580	3.2727
NA19213	AFR	AFR	0.0000	0.9995	0.0005	0.0000	0.0000	63.5844	-18.7639	1.4131	0.3987	3.0908
HG04216	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.2628	-7.9727	-18.0108	-4.8569	2.1848
HG03787	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.7046	-9.7624	-20.3249	-6.0302	0.1540
HG02356	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9408	-46.2180	0.7815	9.6244	-6.0768
NA19437	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	58.1742	-16.9346	-1.2625	1.1708	3.3132
HG03833	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6241	-10.4608	-15.0142	-4.1327	3.1739
HG03646	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1623	-8.9621	-18.4758	-4.9151	2.8567
HG03738	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3617	-6.8484	-19.2909	-7.3200	3.2097
HG03902	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0266	-10.2922	-15.4495	-3.7973	2.7092
NA18597	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.4948	-43.1828	4.0337	7.4068	7.5710
NA20530	EUR	EUR	0.0000	0.0000	0.0014	0.0000	0.9986	1.2877	13.2118	5.3098	11.4313	1.9841
NA20767	EUR	EUR	0.0000	0.0000	0.1604	0.0000	0.8396	2.6546	11.7344	3.8348	9.4497	2.2370
HG02147	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-6.9781	-22.6066	23.9631	-34.7383	2.5068
HG02151	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4231	-43.8254	1.1558	7.9541	-5.0060
HG01850	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.8796	-44.5390	2.0171	8.7628	-2.4942
HG01501	EUR	EUR	0.0000	0.0000	0.0364	0.0000	0.9636	4.5285	10.4820	5.5535	10.4696	4.2128
NA18572	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9243	-45.6402	3.5671	6.4220	6.7053
NA18972	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1641	-42.7347	3.7482	6.1851	10.1763
HG01746	EUR	EUR	0.0000	0.0000	0.1062	0.0000	0.8938	0.2907	11.2218	4.8936	11.6180	3.3580
HG01921	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	-6.6693	-16.0697	19.1695	-28.2432	3.1882
NA20850	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0365	0.0073	-12.5143	-1.0426	3.4264
NA18608	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-9.5968	-42.0147	3.9536	7.0088	5.9687
HG00177	EUR	EUR	0.0000	0.0000	0.1326	0.0000	0.8674	-2.1180	6.7955	7.6106	8.1298	3.9396
HG01631	EUR	EUR	0.0000	0.0000	0.0230	0.0000	0.9770	3.5082	15.1945	5.4956	9.8876	3.3542
HG01602	EUR	EUR	0.0000	0.0000	0.0092	0.0000	0.9908	3.0618	11.8951	6.0479	8.4815	-1.0074
HG01572	AMR	AMR	0.0000	0.0006	0.9994	0.0000	0.0000	-7.1822	-21.8523	24.1615	-37.1254	0.3090
HG01885	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	58.6412	-17.0773	0.4017	2.5573	2.8918
HG01849	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.6297	-42.8596	-0.9720	7.1751	-3.4686
NA18967	EAS	EAS	0.9995	0.0000	0.0005	0.0000	0.0000	-7.6615	-43.1906	3.0203	4.9805	10.8524
HG00181	EUR	EUR	0.0000	0.0000	0.1949	0.0000	0.8051	0.1167	8.9298	4.6465	8.8722	2.9532
NA18531	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.6922	-43.9132	2.4041	6.3049	6.8524
HG04131	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0215	-12.2397	-15.6476	-3.1835	2.3798
NA19404	AFR	AFR	0.0000	0.9989	0.0011	0.0000	0.0000	59.0511	-16.1714	0.8023	2.2134	3.3808
NA19074	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0300	-42.9546	3.0710	4.8748	10.8284
HG03777	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6597	-7.0013	-18.2798	-4.7777	2.2472
HG00613	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.3356	-44.1325	1.9874	7.0380	4.8856
NA19374	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	59.7647	-16.5255	0.5248	3.6361	1.7278
HG00102	EUR	EUR	0.0000	0.0000	0.0042	0.0000	0.9958	0.1175	11.7949	5.9343	9.0805	6.5905
NA12815	EUR	EUR	0.0000	0.0000	0.0026	0.0000	0.9974	1.7839	13.3127	5.5812	8.9580	-0.5733
NA21109	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1070	-6.2392	-17.4427	-3.4760	7.1442
HG00500	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.8205	-44.1948	3.0523	6.1388	2.7521
NA20587	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	1.6786	12.8835	2.8252	9.5617	-0.4581
HG03706	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6920	-5.7168	-20.3808	-4.9288	2.7103
NA19024	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	60.3008	-16.8665	-1.8131	1.4269	3.4344
HG01489	AMR	AMR	0.0000	0.0238	0.8751	0.0103	0.0908	1.9301	4.8514	5.7807	3.0753	-0.5698
HG03025	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	62.6082	-18.6402	0.2868	2.5145	1.0124
HG03898	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7534	-9.0541	-19.4477	-2.7637	3.0738
HG01082	AMR	AMR	0.0000	0.0045	0.9954	0.0000	0.0001	12.6884	0.2799	8.0049	0.3902	2.3803
HG03006	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.3269	-10.1719	-15.5888	-3.5799	4.0469
HG01479	AMR	AMR	0.0001	0.0001	0.7143	0.0000	0.2855	3.0551	6.7625	6.5755	3.9662	2.1320
NA18498	AFR	AFR	0.0000	0.9982	0.0018	0.0000	0.0000	63.5554	-17.8307	-0.7029	1.7207	4.0281
HG01383	AMR	AMR	0.0003	0.0075	0.9916	0.0001	0.0006	-0.6009	3.0190	9.6268	-3.7319	5.4011
HG00634	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.2190	-46.1404	1.0563	8.0930	1.8674
NA19834	AFR	AFR	0.0000	0.9832	0.0168	0.0000	0.0000	47.9703	-9.1264	2.6890	4.0723	2.9147
HG02133	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7619	-42.9947	1.0013	6.8514	-6.2426
NA18957	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2296	-43.3096	2.5424	7.0312	12.3175
HG01437	EUR	AMR	0.0000	0.0000	0.4712	0.0019	0.5269	0.9407	8.4075	5.2415	4.7246	5.5953
HG04006	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7030	-9.7262	-19.8018	-7.1341	1.4783
NA19761	AMR	AMR	0.0000	0.0003	0.9997	0.0000	0.0000	-0.4708	-10.3414	13.5620	-15.9402	-0.4083
HG03259	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	60.9500	-16.8980	-1.0861	2.3089	1.5135
HG01522	EUR	EUR	0.0000	0.0000	0.0078	0.0000	0.9922	1.9104	12.0279	5.4276	10.3763	1.0715
HG00154	EUR	EUR	0.0000	0.0000	0.3625	0.0000	0.6375	-0.3724	14.2991	5.8475	8.2093	3.0076
NA19201	AFR	AFR	0.0000	0.9992	0.0008	0.0000	0.0000	62.8030	-17.6409	0.5215	2.8776	4.0478
NA20859	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7161	-5.3084	-19.6104	-3.2578	4.0574
HG02479	AFR	AFR	0.0000	0.9994	0.0006	0.0000	0.0000	57.6598	-13.6283	0.5831	4.0282	3.4602
HG01697	EUR	EUR	0.0000	0.0000	0.0114	0.0000	0.9886	1.7756	11.0498	4.2513	9.1286	0.7972
NA21120	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.2473	-6.9359	-18.3524	-4.0528	0.5532
HG01111	AMR	AMR	0.0000	0.0001	0.9985	0.0000	0.0014	5.4469	2.8689	6.5688	1.9778	-0.2638
HG01680	EUR	EUR	0.0000	0.0000	0.1193	0.0000	0.8807	3.7001	11.5258	6.3527	7.6055	0.0949
HG02029	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1492	-44.0171	1.6190	8.3286	-2.3771
HG02694	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.0455	-0.5428	-11.8725	-2.7164	0.6161
NA12273	EUR	EUR	0.0000	0.0000	0.0151	0.0000	0.9849	0.8381	13.0470	3.7872	7.2182	2.0556
HG03225	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	63.7310	-17.2159	-0.5273	1.4787	1.6382
NA20847	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0141	-6.7453	-19.6622	-4.4324	5.2080
NA19225	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	63.2357	-18.9543	0.3840	1.5018	1.1127
HG03557	AFR	AFR	0.0000	0.9981	0.0019	0.0000	0.0000	63.3765	-18.1815	0.0032	1.7378	2.3905
NA21090	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9134	-6.2408	-20.5001	-5.2387	0.0384
NA12812	EUR	EUR	0.0000	0.0000	0.0233	0.0000	0.9767	-0.0728	13.0463	4.6995	10.5901	2.1938
HG04060	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6364	-5.4572	-15.7770	-3.9871	-0.2441
HG03301	AFR	AFR	0.0000	0.9995	0.0005	0.0000	0.0000	63.8351	-18.4926	-1.7736	1.0297	4.4985
HG00428	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-10.0248	-44.4288	1.6384	7.8247	2.2234
NA12776	EUR	EUR	0.0000	0.0000	0.0290	0.0000	0.9710	0.5213	11.4134	5.7649	8.1498	2.3013
NA20775	EUR	EUR	0.0000	0.0000	0.0255	0.0000	0.9745	2.9891	12.7409	2.8197	8.8764	1.2823
HG02772	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	61.7102	-17.6157	-0.4687	2.0382	0.0402
NA19455	AFR	AFR	0.0000	0.9991	0.0009	0.0000	0.0000	59.0754	-17.1769	0.3252	2.6931	-0.2000
HG00256	EUR	EUR	0.0000	0.0000	0.0039	0.0000	0.9961	0.9707	13.9122	4.0545	9.8335	3.3313
HG00704	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.5402	-45.2095	2.7137	7.1317	2.9803
HG04070	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9391	-8.1111	-21.2055	-5.5481	-1.3432
HG01802	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9963	-45.0840	0.9491	8.0057	-0.9204
HG01668	EUR	EUR	0.0000	0.0000	0.0591	0.0000	0.9409	4.3283	11.8492	3.6385	10.6001	2.5020
HG00376	EUR	EUR	0.0000	0.0000	0.0102	0.0000	0.9898	-0.5857	9.8982	6.3323	7.7292	3.9980
HG02140	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3836	-41.9344	-0.1376	8.3192	-3.1554
HG01066	EUR	AMR	0.0000	0.0000	0.2667	0.0000	0.7332	3.7831	5.4800	8.8721	1.6544	3.5554
NA12282	EUR	EUR	0.0000	0.0000	0.0102	0.0000	0.9898	-1.2938	12.8218	6.6884	7.4993	2.2939
HG01807	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0952	-44.3847	1.1141	10.0203	-4.8268
HG03021	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3334	-7.7559	-19.8054	-3.2843	2.9235
HG01605	EUR	EUR	0.0000	0.0000	0.0527	0.0000	0.9473	1.7371	11.3383	4.1094	8.6243	1.0615
HG01796	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.9480	-44.8854	0.4070	8.7977	-6.9372
HG01302	AMR	AMR	0.0000	0.0068	0.9931	0.0000	0.0001	6.7691	1.9417	6.9685	-1.3379	-2.0752
HG03193	AFR	AFR	0.0000	0.9990	0.0010	0.0000	0.0000	61.8712	-18.1169	1.1175	1.3776	1.7172
HG01447	AMR	AMR	0.0020	0.0047	0.9820	0.0024	0.0089	3.4519	1.6678	8.1323	-2.0683	2.2542
HG03857	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3247	-9.4662	-20.3807	-3.3312	0.6689
NA19257	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.2273	-16.9266	0.1731	2.9956	1.9240
NA19320	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	60.3630	-16.2706	-0.6351	2.0988	0.7621
HG01414	AMR	AMR	0.0000	0.0000	0.8097	0.0000	0.1903	9.1256	2.3006	7.2710	1.3517	2.6311
HG02497	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	60.8222	-16.0754	0.7729	2.1280	3.8409
HG01485	AMR	AMR	0.0000	0.3188	0.6812	0.0000	0.0000	22.0818	-8.8843	7.0419	-6.4175	0.0784
HG02837	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	61.7622	-16.9032	-2.0946	2.3692	-0.7711
HG03160	AFR	AFR	0.0000	0.9995	0.0005	0.0000	0.0000	62.6734	-18.2732	-1.0615	0.8728	4.3630
HG00142	EUR	EUR	0.0000	0.0000	0.0042	0.0000	0.9958	0.2436	12.8995	5.3056	10.4362	1.9245
HG01806	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4867	-44.7652	-0.1446	8.2189	-7.9432
HG01770	EUR	EUR	0.0000	0.0000	0.0566	0.0000	0.9434	1.1875	12.4976	5.4416	10.2005	4.2123
NA21093	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.2209	-5.1922	-21.0512	-5.1878	3.3898
HG02334	AFR	AFR	0.0000	0.9801	0.0199	0.0000	0.0000	49.2624	-10.5123	1.4638	3.5801	3.2288
HG03370	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	62.0489	-17.3959	0.7266	1.2118	4.3321
HG02679	AFR	AFR	0.0000	0.9926	0.0074	0.0000	0.0000	60.1775	-17.4870	-0.9544	2.1465	0.9052
HG03548	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.2957	-17.4875	0.2715	0.8720	1.5494
HG00369	EUR	EUR	0.0000	0.0000	0.0215	0.0000	0.9785	-2.8294	9.0455	3.9542	8.3843	2.5973
HG02128	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.0977	-43.8883	2.5980	7.6367	-3.0958
HG02012	AFR	AFR	0.0000	0.9994	0.0006	0.0000	0.0000	58.8554	-14.9958	0.1386	2.6865	0.9855
NA18970	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2999	-44.0945	3.0677	7.5984	10.6595
HG03229	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6869	-4.8791	-17.0198	-3.0486	1.3809
NA18632	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.9173	-44.8634	5.1243	8.1358	1.2087
HG00651	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5078	-45.7154	5.0077	6.9211	-1.8538
HG00384	EUR	EUR	0.0000	0.0001	0.2626	0.0008	0.7366	-1.9993	9.4436	4.6627	8.0568	2.3069
HG03452	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	62.0246	-17.6155	0.2398	1.1645	2.8339
NA19770	AMR	AMR	0.0000	0.0015	0.9985	0.0000	0.0000	1.4876	-5.3228	11.5567	-10.0064	4.6624
HG03837	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7159	-7.6524	-17.9885	-3.1463	3.6976
NA19443	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	58.6114	-16.3434	0.8081	2.1852	0.5314
NA20851	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6240	-5.4106	-16.9214	-3.5297	2.2181
NA12275	EUR	EUR	0.0000	0.0000	0.0335	0.0000	0.9665	1.3548	13.7707	7.3287	8.9090	2.7166
NA18990	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9690	-44.3432	2.2120	5.9680	9.9121
HG01170	AMR	AMR	0.0002	0.0033	0.9853	0.0018	0.0094	6.4424	2.2374	6.0916	-0.6339	-0.1754
NA18555	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6232	-43.4322	2.7876	7.6913	5.0067
NA18534	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3160	-44.1434	3.3457	7.2916	7.0407
