#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00596	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4150	46.0272	-0.9655	7.3216	1.8495	-2.3922	-2.3005	2.9975	2.3419	-2.7797
NA19395	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.1569	16.6455	0.3495	2.0267	-0.0484	4.0496	3.3135	2.9568	2.8826	-1.3856
NA20866	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5520	5.2781	16.5943	-4.0706	1.0050	-0.0388	-1.4158	0.3077	-0.3637	-2.5701
NA19384	AFR	AFR	0.0000	0.9969	0.0031	0.0000	0.0000	59.9800	16.6935	0.7404	0.9495	1.7691	4.1444	0.0587	3.4029	0.1171	-0.6014
HG00464	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-9.0784	44.6973	-3.4574	7.8730	-1.8575	-0.1704	-3.8849	-0.2806	3.1368	0.1595
HG03681	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5194	7.4816	20.1487	-4.3484	-2.9922	3.2588	-6.9180	4.3603	1.5978	0.1501
HG02315	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	54.9329	13.6380	-0.4900	1.1687	0.2888	1.1328	-3.6229	1.4297	6.6086	-2.9384
HG01927	AMR	AMR	0.0000	0.0003	0.9997	0.0000	0.0000	-8.7592	22.0955	-22.6019	-36.8036	-0.0780	2.4623	-3.5711	3.2407	-5.0460	0.0472
HG01785	EUR	EUR	0.0000	0.0000	0.0319	0.0000	0.9681	1.9321	-12.9072	-6.6921	8.9163	-5.5141	0.3802	-3.0712	1.1381	0.9169	-0.6991
NA20822	EUR	EUR	0.0000	0.0000	0.3095	0.0000	0.6905	2.6099	-13.2141	-6.8516	9.3084	-4.5346	-2.1079	-0.0370	-0.9321	-0.8760	-2.1814
NA20864	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.4907	3.3560	15.4125	-0.9147	-1.5683	-0.2843	-4.2968	-1.8820	-3.6855	-0.2045
HG04182	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.2069	12.1464	18.7907	-2.2170	0.4807	5.4368	-2.8919	-2.2710	2.8080	-5.6800
HG03787	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.7334	9.7870	20.3535	-6.1489	-0.3383	-1.0514	-0.1973	6.6335	-2.2690	-4.1213
HG03009	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1313	12.1034	16.7810	-3.6587	1.2713	-2.5761	1.6160	1.7802	2.9311	-1.0823
NA20851	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.6010	5.3800	17.0476	-3.4583	-0.0395	-2.6212	-4.5384	2.2804	-0.8593	4.5331
HG01880	AFR	AFR	0.0000	0.9962	0.0038	0.0000	0.0000	34.4234	14.5431	7.0301	-0.6619	0.5286	0.4155	0.0238	1.5788	1.9177	-0.1463
HG03716	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0125	4.0934	15.1325	-4.8086	2.6093	-3.0530	-6.0403	2.8783	0.0376	-1.8251
NA20541	EUR	EUR	0.0000	0.0000	0.1959	0.0000	0.8041	0.4692	-11.5222	-4.0490	8.8553	-5.0437	-5.1892	-1.8512	0.1954	1.0265	0.1291
HG01872	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.0562	43.3352	-1.3004	7.3930	-4.2151	1.7833	-2.8747	1.7432	-0.8984	-0.6876
HG01773	EUR	EUR	0.0000	0.0000	0.0228	0.0000	0.9772	2.1507	-12.1655	-6.3005	10.4307	0.3859	-4.5726	-1.2968	-0.8552	-1.3567	-0.7206
HG03095	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.3807	17.5748	0.6159	0.8727	0.0214	-0.5302	-4.0096	4.7936	0.2458	-4.8461
NA19448	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	59.6288	16.0943	-1.1223	1.9220	-0.7818	4.9299	1.7640	4.0733	3.6928	-0.7941
