#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG02391	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.3940	-44.6854	0.9908	8.4854	-12.0243	-2.9008	-5.4986	0.9416	-3.5262	-2.8762
NA19087	EAS	EAS	0.9997	0.0000	0.0003	0.0000	0.0000	9.5445	-43.9264	3.0081	5.3654	6.3946	-1.6179	-2.9965	0.6346	-1.9601	-1.8896
HG02277	AMR	AMR	0.0000	0.0836	0.9164	0.0000	0.0000	5.9747	-15.3577	18.2200	-23.9817	-3.0855	0.4062	-4.4342	1.4211	-0.7319	2.3201
HG00707	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	9.6745	-45.1628	1.8219	8.1670	-2.7660	-2.1270	-6.3217	-0.6137	-2.9940	-2.8284
HG00145	EUR	EUR	0.0000	0.0000	0.0049	0.0000	0.9951	0.1810	13.0188	4.5846	9.6832	-2.8065	-1.6141	-1.3641	2.1695	-5.2334	-0.1844
HG03862	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.6144	-6.1992	-18.8409	-6.0619	-0.6240	-2.3507	-2.6122	-2.6960	0.0547	-4.5416
HG02574	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	-59.8613	-15.1080	0.4665	3.1121	-1.4853	-0.8005	-2.1946	-1.4861	-3.3829	-4.6388
HG01860	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.0398	-42.8601	0.0871	8.3571	-6.2205	-0.7841	-1.9674	-2.6520	-0.2543	-2.7626
HG04035	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.6461	-8.5979	-18.9527	-2.8270	1.7035	-1.0546	-5.4522	7.2494	-7.2001	1.2983
HG00653	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9730	-45.4918	0.2257	8.3930	-4.5117	-0.1419	-0.0729	1.4369	-4.2609	-3.3928
HG02180	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.4841	-44.1469	-1.1191	8.0248	-7.1755	-2.0387	-5.5895	1.5569	-6.2819	-3.9077
NA12275	EUR	EUR	0.0000	0.0000	0.0035	0.0000	0.9965	-1.3467	13.8170	7.1618	8.7624	-1.7929	1.8067	-5.1356	2.2807	-5.2283	-2.2403
NA11933	EUR	EUR	0.0000	0.0000	0.0006	0.0000	0.9994	-0.7727	12.9405	4.1649	8.7072	-4.7168	-1.2190	-1.9470	-0.3075	-4.6619	-0.0721
NA18966	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.6034	-41.6351	2.4150	6.0521	8.9339	-0.3864	-3.7426	1.2003	-2.1564	-2.8092
HG01029	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.2737	-44.5688	1.2722	7.5283	-7.2297	-2.0500	-3.3907	1.9943	-6.1452	-4.0134
NA18942	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.7223	-42.9324	1.7824	6.5746	8.4230	2.9466	-4.3063	-0.4716	-4.7306	-2.5280
HG00445	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.2090	-43.7379	1.8213	6.7092	-3.7319	-1.3622	-0.3168	-1.6566	1.4064	-4.0044
HG01437	EUR	AMR	0.0000	0.0001	0.4961	0.0001	0.5037	-0.9279	8.4604	5.4637	4.2786	0.8338	-2.2253	-2.8170	-1.2556	-4.6456	-1.7215
HG02976	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.8460	-17.9279	0.2254	0.7416	-1.1018	2.5741	-1.3783	4.3590	-3.7284	-4.7753
HG02643	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	-61.1487	-15.4964	-0.6572	2.7700	-2.1649	1.9902	-1.7141	-2.1369	-5.0542	-4.8481
HG02345	AMR	AMR	0.0000	0.0062	0.9938	0.0000	0.0000	-0.0442	-11.3874	11.3131	-14.3380	-2.2782	-1.4605	-6.1499	4.1957	1.3972	-0.4521
NA07037	EUR	EUR	0.0000	0.0000	0.0119	0.0000	0.9881	-2.3164	13.2645	5.9114	9.4922	-3.0261	-2.2015	-3.3081	-2.8199	-7.5317	-5.0173
HG04227	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.8926	-9.5500	-21.6280	-2.5786	-1.4432	3.7016	-4.6313	-0.0495	-2.1625	-2.2182
NA18879	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-62.8619	-16.7354	0.9752	2.3088	-1.0814	0.0874	-1.7475	3.2696	-4.5831	-1.6986
NA19717	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	2.9511	-9.6945	14.4883	-19.3353	-0.7150	-3.6999	-3.1101	3.0461	-2.2758	-4.3110
NA18626	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.8716	-44.0826	2.6454	7.3324	2.1377	1.6445	-2.1256	1.1654	-3.2922	0.6145
NA20795	EUR	EUR	0.0000	0.0000	0.0103	0.0000	0.9897	-1.0952	11.0128	4.2491	9.4143	-0.1340	-5.1516	-6.6576	-0.4211	-2.0093	-2.1169
HG02953	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.8183	-17.2950	1.6107	1.0120	-2.0656	-0.2719	-6.2722	1.0193	-2.5138	-0.3407
NA21114	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.5108	-4.9034	-19.3481	-5.1033	-3.8480	2.4173	-0.9228	3.6375	-4.1975	-4.0693
HG03490	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.9039	-0.5218	-14.2064	-2.1168	1.6520	-5.0189	-4.2623	-3.5678	-4.1445	-1.9737
NA19403	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.4313	-15.9382	0.3852	2.9264	-2.9196	0.4162	-10.1326	-1.5247	-0.9155	-2.8465
HG02343	AFR	AFR	0.0000	0.9994	0.0006	0.0000	0.0000	-49.9953	-10.9669	1.0070	2.7419	-2.1805	-2.1080	-1.3039	0.0544	-8.3780	-0.0085
HG04017	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.8186	-7.2862	-22.3873	-5.3811	-2.1533	-3.3036	0.2552	-3.2437	-1.8713	-5.7250
HG02215	EUR	EUR	0.0000	0.0000	0.1766	0.0000	0.8233	-0.0349	12.4315	6.2419	10.0984	0.5431	2.4493	-4.9434	0.1316	-4.2572	-3.0441
NA19761	AMR	AMR	0.0000	0.0062	0.9938	0.0000	0.0000	0.5160	-10.2668	13.5670	-16.2262	-1.8764	-4.0444	-2.1779	2.2584	-0.7661	1.1022
HG01441	AMR	AMR	0.0000	0.0029	0.9971	0.0000	0.0000	1.0835	-4.7456	9.8192	-11.2456	2.3322	-1.5169	-2.7257	-0.3472	-0.7114	2.5662
NA19664	AMR	AMR	0.0000	0.0011	0.9989	0.0000	0.0000	0.4935	-9.7083	12.5919	-12.6957	-1.3526	-3.3032	-3.0619	1.1893	-4.8385	-4.2574
NA20885	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.4393	-2.5035	-14.4957	-2.7858	-0.1880	-0.3494	-4.8723	-6.1513	-0.7529	-5.7362
HG00131	EUR	EUR	0.0000	0.0000	0.0008	0.0000	0.9992	-0.6081	12.3280	4.6735	10.6939	-1.4076	3.4696	-1.1504	-0.3224	0.3104	-2.3169
HG00513	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.1502	-45.0230	2.6047	8.6815	-1.5713	-0.0619	-2.8470	-0.6049	-1.5111	-2.2385
HG00234	EUR	EUR	0.0000	0.0000	0.3922	0.0000	0.6078	0.0412	13.2581	6.8792	8.2180	-0.3438	-3.7116	4.1736	2.7251	-0.5919	-1.8279
NA20884	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.1384	-7.3005	-20.2872	-4.9815	-2.3886	2.2211	2.2084	-2.9422	-4.7203	-1.0131
HG03731	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.9418	-7.0428	-20.3325	-5.0940	0.3078	1.8106	-5.6044	2.7352	-4.6809	-5.8445
NA18983	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.3804	-43.9918	3.2274	5.5836	7.0259	-0.5869	-1.6513	-0.7402	-6.0659	1.0542
NA21100	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0884	-5.6662	-19.7547	-5.8471	-2.3725	-0.1143	-8.8122	-1.3648	-5.6013	-0.2473
HG02811	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.3480	-17.9717	-1.7329	2.2803	-0.2392	-0.5754	-2.9071	0.3081	-3.6731	-4.0986
NA18949	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.7021	-42.4858	1.9529	6.8507	9.9228	1.0930	-2.6288	1.0130	-2.4622	-2.5650
NA20531	EUR	EUR	0.0000	0.0000	0.0231	0.0000	0.9769	-1.2436	10.7306	4.7387	8.5349	2.5407	-3.3079	-6.6154	-4.3250	0.3030	0.1263
HG02236	EUR	EUR	0.0000	0.0000	0.1045	0.0000	0.8955	-2.4521	11.4939	5.3451	10.1090	-5.4375	-3.4089	-4.6225	-1.9310	-4.3799	-7.9174
HG03750	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.9196	-7.4642	-18.5854	-5.0325	0.2755	1.0251	-5.4909	-5.1207	-4.9012	-3.5424
HG03968	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.6220	-6.4264	-19.5048	-5.0913	-1.1187	0.4104	-1.3544	-0.4552	-3.2263	-0.2101
HG02537	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.3138	-16.0471	0.1646	0.9343	-2.0697	0.9609	-2.6495	3.0949	-2.4344	-5.7443
HG01816	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.3968	-44.1253	2.2916	10.2808	-7.0306	-1.6240	-5.2983	-3.2284	-3.5570	-1.3819
NA21106	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0846	-8.4727	-18.5306	-5.2165	-0.0407	2.1890	-5.7695	2.7714	-7.1347	-1.4896
HG01500	EUR	EUR	0.0000	0.0000	0.0028	0.0000	0.9972	-3.2389	10.5115	6.5807	10.6848	-4.2114	-1.6276	1.6535	3.0457	-1.5175	-1.0684
HG01432	AMR	AMR	0.0000	0.0007	0.9993	0.0000	0.0000	-2.1550	1.8176	8.8127	-0.2567	-3.2488	-6.1818	-0.9563	2.8165	-1.1752	1.0732
NA12283	EUR	EUR	0.0000	0.0000	0.0032	0.0000	0.9967	-0.8203	11.9695	4.5980	8.1116	-6.5466	-3.5671	-3.4291	-2.3846	-4.0762	-2.2356
NA18748	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.9719	-44.4600	2.0002	9.6361	-1.9647	0.9335	-2.4102	1.9997	-5.9965	-1.4802
HG03136	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.2160	-16.8907	0.7891	0.9391	-0.3717	-1.3646	-1.0910	1.6243	-2.3048	-2.0340
HG01572	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	7.2342	-21.7730	24.1987	-37.1529	-2.5676	2.5604	-0.3132	2.2904	-1.8738	0.1068
HG01798	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.9433	-43.2025	1.7383	8.3719	-1.7371	-1.8711	-4.9048	1.6723	-2.2687	-0.0158
HG03120	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.3682	-16.5418	-0.4460	2.3135	-0.9774	-0.7261	-0.6837	1.1272	-3.7152	-0.6089
NA20818	EUR	EUR	0.0000	0.0000	0.0107	0.0000	0.9893	-0.7864	10.7720	4.1849	7.6082	-1.5365	-4.8206	-7.7872	-2.4478	-2.1490	-0.9470
NA19670	AMR	AMR	0.0000	0.0015	0.9985	0.0000	0.0000	-0.2450	-8.1372	11.5287	-14.2452	-3.3078	-5.4743	-4.6325	2.6394	-2.9579	-4.9448
NA19065	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.7653	-44.0435	3.6796	6.6657	8.6551	-2.1701	-0.5978	1.4277	-1.7271	-3.6601
HG02020	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.1309	-42.7444	0.6728	8.2872	-8.4109	3.4867	-3.5625	-2.2061	-3.5828	-1.5543
HG03449	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.8959	-17.2826	0.8297	2.7716	-2.3309	-0.0148	-5.5890	0.9108	-4.0269	-2.2221
HG01950	AMR	AMR	0.0000	0.0015	0.9985	0.0000	0.0000	3.5330	-22.5626	20.9457	-32.3808	-2.7796	0.8849	-4.3476	1.2606	-7.0774	-2.6136
NA19063	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9253	-43.5930	1.9095	7.5562	4.5517	-3.6245	-2.7223	-2.7881	-2.7733	-0.1056
NA19074	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.0738	-42.8822	2.8675	5.2863	4.8028	-0.0564	-1.2940	-3.1511	-5.7125	-1.4737
HG01374	AMR	AMR	0.0001	0.0003	0.9985	0.0001	0.0010	1.5876	4.1293	11.2974	-3.7258	-1.0274	-2.0655	-5.0634	3.0733	-8.2275	0.1910
HG02721	AFR	AFR	0.0000	0.9993	0.0007	0.0000	0.0000	-61.9805	-18.7519	0.1974	0.4681	-0.2196	-0.5275	-0.3598	-0.0320	-4.6700	-5.2461
HG02769	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-60.5140	-16.9130	-0.6710	0.7117	-0.6039	-0.2684	-3.0099	-2.6927	-3.0794	-2.5755
NA19909	AFR	AFR	0.0000	0.9995	0.0005	0.0000	0.0000	-55.5396	-13.4214	1.0926	1.9555	0.1702	-2.8253	-3.6461	2.8209	-3.2368	-2.8726
NA11930	EUR	EUR	0.0000	0.0000	0.0374	0.0000	0.9626	-0.7700	10.5588	3.6472	9.1519	-1.1653	1.6123	-7.1028	-3.6668	-2.5786	-0.6350
NA18635	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.9966	-42.8312	4.4947	6.6759	4.0140	0.9454	-3.9475	1.5728	-2.0081	-4.9941
HG00623	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.7449	-44.9611	2.4836	5.7258	0.2606	0.3631	0.3323	-0.8200	-6.4254	-3.7695
HG00457	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.9873	-44.6793	2.1031	6.0220	-1.7315	-0.0007	-0.6064	2.8815	-2.0714	-1.7341
HG01131	AMR	AMR	0.0000	0.0033	0.9967	0.0000	0.0000	-3.2634	0.7703	9.7952	-3.8444	-1.3178	-1.8835	-4.3289	2.6700	-3.3422	-2.4726
HG00266	EUR	EUR	0.0000	0.0000	0.0070	0.0000	0.9930	0.1127	9.3876	5.6156	7.5675	-0.5866	9.6755	-6.2618	-0.2868	-4.8633	-2.3510
HG03491	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.5159	-5.1953	-17.3862	-3.6236	-0.2184	-0.0898	-5.0811	1.5621	-0.3502	-0.6536
NA20753	EUR	EUR	0.0000	0.0000	0.1850	0.0000	0.8149	-0.2895	12.1297	5.6701	10.4398	0.9589	-1.1693	-4.8864	0.2110	-5.4270	-3.3318
NA12828	EUR	EUR	0.0000	0.0000	0.1999	0.0000	0.8001	1.4385	12.0400	4.5968	6.9626	-4.2524	0.1638	-6.6081	2.6727	-5.6761	-1.0070
NA19002	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.6124	-41.5837	3.0854	5.8422	7.3644	0.3759	-3.3993	1.7036	-3.7574	-1.5506
NA11832	EUR	EUR	0.0000	0.0000	0.0496	0.0000	0.9504	-0.5843	13.1909	4.6501	10.2660	-0.2371	-1.9374	-3.5394	0.9788	-1.3804	-3.3803
HG00130	EUR	EUR	0.0000	0.0000	0.0003	0.0000	0.9997	-1.1828	13.6141	4.9009	11.5799	-2.8353	-1.9916	-2.6919	4.9959	-3.9065	-3.3248
HG03775	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.4174	-7.0793	-20.2052	-4.2570	-4.3064	-2.0969	1.4637	2.9748	-2.4479	1.0164
