#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA10851	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	0.1665	13.9014	-6.7042	9.1800	-1.3325
NA19213	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.5770	-18.7219	-1.6261	0.1573	0.3773
HG03470	AFR	AFR	0.0000	0.9979	0.0021	0.0000	0.0000	63.0502	-18.4900	0.1194	0.2251	1.7556
NA20821	EUR	EUR	0.0000	0.0000	0.0059	0.0000	0.9941	2.1119	11.9882	-4.1634	8.8934	5.0779
HG02187	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3555	-44.4387	-1.1010	7.0146	8.5223
HG03652	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9766	-5.0149	16.8018	-3.0876	4.7132
NA20530	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	1.3376	13.2518	-5.3435	11.2000	3.9006
HG02182	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.3265	-44.6595	-2.4499	8.3558	4.7440
HG01954	AMR	AMR	0.0000	0.0009	0.9991	0.0000	0.0000	-6.9314	-22.7577	-21.3502	-32.6418	-0.1766
NA18499	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.6673	-17.8829	0.0260	1.8040	1.1004
NA18526	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-6.9463	-44.2568	-3.1506	7.6566	-1.9371
HG02215	EUR	EUR	0.0000	0.0000	0.0198	0.0000	0.9802	0.0865	12.4087	-6.4451	10.2121	-3.4403
HG01986	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	54.9709	-13.8228	-2.1429	2.7603	2.0293
NA19026	AFR	AFR	0.0000	0.9963	0.0037	0.0000	0.0000	59.7443	-15.4580	-0.6494	0.8684	0.4360
HG02105	AMR	AMR	0.0000	0.0064	0.9936	0.0000	0.0000	-8.1730	-25.1239	-22.1329	-39.2337	2.4737
NA21088	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3028	-5.5253	18.6494	-4.9844	6.4507
NA12282	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	-1.2559	12.8509	-6.7373	7.3535	-1.6865
NA18616	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.4598	-43.7690	-1.0784	7.5388	3.9869
HG02882	AFR	AFR	0.0000	0.9980	0.0020	0.0000	0.0000	60.8624	-16.9494	-0.2740	1.8026	-2.4382
NA19350	AFR	AFR	0.0000	0.9992	0.0008	0.0000	0.0000	59.7963	-16.8363	0.6086	2.4691	1.4649
HG03738	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.4089	-6.8388	19.1237	-7.2946	-0.8780
HG02621	AFR	AFR	0.0000	0.9992	0.0008	0.0000	0.0000	61.6401	-16.9535	-0.3202	2.0615	-0.9858
