#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA20882	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9525	-1.3083	12.6591	-2.2401	5.2309
HG01765	EUR	EUR	0.0000	0.0000	0.0277	0.0000	0.9723	1.6115	11.8922	-4.8933	8.6043	0.7087
NA20356	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	55.0444	-13.9073	-0.5239	1.5087	1.7123
NA20539	EUR	EUR	0.0000	0.0000	0.0682	0.0000	0.9318	2.2012	12.4686	-4.6843	7.6927	2.2566
NA18533	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.2141	-45.1902	-2.5167	6.7469	4.9519
NA18968	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7825	-43.0717	-3.5015	4.4333	-7.9303
HG01284	AMR	AMR	0.0006	0.0005	0.9953	0.0000	0.0036	2.3403	2.7131	-8.2126	-1.1204	3.4832
HG01438	EUR	AMR	0.0000	0.0000	0.0986	0.0000	0.9014	2.2441	11.0847	-6.6244	5.4078	4.8715
NA18602	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5227	-43.5751	-3.2850	6.2598	-0.9681
HG02386	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-8.2957	-43.7641	-2.5477	7.8759	7.4033
HG01303	AMR	AMR	0.0000	0.0042	0.9958	0.0000	0.0000	5.8232	1.4448	-8.2846	-0.3912	2.3838
HG00306	EUR	EUR	0.0000	0.0000	0.0720	0.0000	0.9280	-1.0238	9.3598	-6.4478	9.1211	-4.1250
HG00596	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.3753	-46.1042	-1.0771	7.0942	0.1329
HG03237	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3607	-2.0930	12.8831	-2.1623	-0.3209
NA19795	AMR	AMR	0.0000	0.0135	0.9865	0.0000	0.0000	1.4295	-7.6408	-13.5432	-14.9061	0.7639
HG02476	AFR	AFR	0.0000	0.9674	0.0326	0.0000	0.0000	52.4243	-14.2488	-0.4943	1.0906	0.0155
HG03691	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9524	-11.3022	18.7984	-4.1748	3.2587
NA20127	AFR	AFR	0.0000	0.9969	0.0031	0.0000	0.0000	55.4116	-15.5840	-2.0124	2.9889	-0.8947
HG00736	EUR	AMR	0.0000	0.0000	0.0332	0.0000	0.9668	3.4500	8.0719	-5.6247	4.1993	4.5001
HG00253	EUR	EUR	0.0000	0.0000	0.0241	0.0000	0.9759	-0.1973	12.8003	-5.0063	9.6488	4.2018
HG02104	AMR	AMR	0.0000	0.0003	0.9997	0.0000	0.0000	-6.1070	-22.1062	-23.4025	-36.4479	0.5800
HG02013	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	60.0589	-16.9677	0.2480	2.3720	1.2396
HG01395	AMR	AMR	0.0000	0.0001	0.5819	0.0001	0.4180	4.6523	6.5480	-6.9349	2.0236	4.2240
HG00662	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2146	-44.0682	-0.9467	7.4850	4.2526
NA18610	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-8.7574	-41.6746	-2.5296	7.2217	-1.9920
HG02787	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.0853	-9.0849	18.2397	-4.6647	4.2050
HG02820	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	62.7923	-17.7278	0.4724	1.9382	1.0162
HG00304	EUR	EUR	0.0000	0.0000	0.0172	0.0000	0.9828	-1.1624	9.0466	-5.0565	6.7939	0.7127
HG00530	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0056	-42.8933	-3.3113	8.2197	1.4851
NA18539	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0473	-44.4457	-4.0850	7.4123	-1.8707
HG01055	EUR	AMR	0.0000	0.0000	0.0332	0.0000	0.9668	7.9159	4.4871	-5.1936	4.1458	0.6343
HG01137	AMR	AMR	0.0000	0.0003	0.9997	0.0001	0.0000	-1.3660	-0.1463	-11.3524	-9.2570	2.5120
HG03127	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	61.8952	-16.8505	-1.0313	1.6912	2.4712
HG02462	AFR	AFR	0.0000	0.9964	0.0036	0.0000	0.0000	59.6857	-15.8252	-0.5306	1.1947	3.4726
HG03697	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6257	-9.4506	19.3197	-5.4913	-1.8407
HG04059	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.2986	-6.4660	19.7007	-5.5776	3.1388
HG02419	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	57.9461	-15.9168	0.2392	1.9565	1.7703
HG04146	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7316	-13.1177	17.1259	-3.2601	0.5256
HG03600	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6270	-10.2275	21.7050	-5.9427	-1.8050
NA07048	EUR	EUR	0.0000	0.0000	0.0057	0.0000	0.9943	0.7091	11.5791	-4.1493	11.5906	0.9738
NA18864	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.9298	-18.1737	-1.0151	1.1696	2.0879
HG00237	EUR	EUR	0.0000	0.0000	0.0833	0.0000	0.9167	1.5130	11.0726	-4.3823	9.0024	4.0291
HG01747	EUR	EUR	0.0000	0.0000	0.0673	0.0000	0.9327	1.2418	12.4504	-5.6994	8.5379	6.4476
HG04100	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.1234	-8.0565	18.1840	-6.6595	-4.3951
NA18956	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-6.8795	-43.5614	-2.3956	6.4678	-4.8891
HG03908	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.8033	-10.8299	18.1253	-5.3319	1.9067
NA18525	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7025	-44.6388	-3.8202	7.6125	-0.1593
HG02759	AFR	AFR	0.0000	0.9945	0.0055	0.0000	0.0000	61.5151	-16.5378	-0.8887	-0.4557	2.8240
NA19257	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	63.2492	-16.8945	-0.2253	2.7702	2.2577
HG01513	EUR	EUR	0.0000	0.0000	0.1741	0.0000	0.8259	0.5507	12.3553	-6.2253	10.3209	2.5533
NA19036	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	60.6734	-15.4127	1.1509	1.6760	2.3238
NA20332	AFR	AFR	0.0000	0.9897	0.0103	0.0000	0.0000	49.2884	-12.1789	-1.5381	1.9121	0.3674
HG01617	EUR	EUR	0.0000	0.0000	0.3656	0.0000	0.6344	1.7064	10.1736	-6.2556	10.7216	2.2046
NA18647	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5460	-41.9062	-2.8322	6.5360	-1.4915
HG02580	AFR	AFR	0.0000	0.9968	0.0032	0.0000	0.0000	52.0564	-13.0216	-0.6704	3.9831	-0.0312
NA18645	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9958	-46.0481	-2.9757	6.2929	-2.5381
HG03598	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3743	-11.3393	15.9631	-2.0077	5.4179
HG01912	AFR	AFR	0.0000	0.9985	0.0015	0.0000	0.0000	55.7689	-13.7956	-0.8059	1.7840	1.5009
HG02130	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.4635	-42.7025	0.7504	7.0173	5.7830
HG02760	AFR	AFR	0.0000	0.9988	0.0012	0.0000	0.0000	61.5983	-17.0684	-0.3082	1.3739	1.1700
NA19309	AFR	AFR	0.0000	0.9984	0.0016	0.0000	0.0000	59.2189	-15.2200	-0.3442	3.1756	4.4669
HG02322	AFR	AFR	0.0000	0.9993	0.0007	0.0000	0.0000	53.6821	-13.5273	-0.1541	2.8916	4.5592
HG03126	AFR	AFR	0.0000	0.9992	0.0008	0.0000	0.0000	62.8828	-17.7685	-0.3085	1.2744	1.2466
HG03673	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.7972	-9.8267	19.3245	-4.3374	4.3978
NA20541	EUR	EUR	0.0000	0.0000	0.0477	0.0000	0.9523	0.4565	11.5170	-4.1869	8.7306	2.8129
HG00159	EUR	EUR	0.0000	0.0000	0.0672	0.0000	0.9328	-0.0858	12.3710	-5.0763	9.8092	-1.8318
NA19376	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	60.9266	-16.6571	1.0058	0.7288	1.4187
HG01680	EUR	EUR	0.0000	0.0000	0.3712	0.0000	0.6288	3.7417	11.5683	-6.5753	7.6876	0.2409
HG01269	EUR	AMR	0.0000	0.0000	0.2957	0.0000	0.7043	4.8922	2.3459	-9.7959	-3.4734	0.9039
HG01945	AMR	AMR	0.0000	0.0091	0.9909	0.0000	0.0000	-4.5229	-17.3640	-18.7981	-28.9279	2.6627
HG02878	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	61.0124	-18.4433	-0.8659	1.3357	3.4670
HG00251	EUR	EUR	0.0000	0.0000	0.0084	0.0000	0.9916	0.5246	12.2310	-6.1997	9.6388	2.2027
HG00581	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.9092	-43.2999	-3.2300	7.0863	1.6823
HG02941	AFR	AFR	0.0000	0.9994	0.0006	0.0000	0.0000	63.3040	-17.4590	0.9007	2.1373	-0.5601
HG03445	AFR	AFR	0.0000	0.9991	0.0009	0.0000	0.0000	62.6677	-16.9188	0.1615	2.4394	1.4737
NA18965	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5437	-43.2647	-3.3056	6.4877	-5.7849
HG03040	AFR	AFR	0.0000	0.9991	0.0009	0.0000	0.0000	62.1871	-16.6293	0.4366	2.2927	0.0164
HG01684	EUR	EUR	0.0000	0.0000	0.0489	0.0000	0.9511	1.2172	13.6025	-6.3348	9.4235	2.9174
HG03118	AFR	AFR	0.0000	0.9986	0.0014	0.0000	0.0000	63.8993	-18.1371	1.1513	1.8385	-1.2301
NA20808	EUR	EUR	0.0000	0.0000	0.0034	0.0000	0.9966	2.9707	11.6968	-6.3597	10.9001	3.1901
NA19056	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5292	-42.4817	-2.6630	6.7260	-7.1215
HG02536	AFR	AFR	0.0000	0.9983	0.0017	0.0000	0.0000	51.3544	-12.1500	-1.5463	2.6852	2.8681
NA19761	AMR	AMR	0.0000	0.0067	0.9933	0.0000	0.0000	-0.4282	-10.3036	-13.7665	-15.9436	1.6643
HG00136	EUR	EUR	0.0000	0.0000	0.0120	0.0000	0.9880	0.6494	12.7909	-6.0050	8.4695	-0.2674
NA21102	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3117	-4.6593	18.5601	-4.0116	-0.0588
NA20762	EUR	EUR	0.0000	0.0000	0.0024	0.0000	0.9976	2.7519	13.1106	-4.4181	9.9721	3.0058
HG03690	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5566	-7.9919	19.9474	-3.8934	-1.2217
HG04080	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.6451	-5.3493	16.4688	-3.6137	2.8537
HG02032	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.9210	-44.0379	-2.5841	7.2811	3.5549
HG01815	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-5.8222	-44.6960	-1.4838	6.6054	5.9184
HG00311	AMR	EUR	0.0000	0.0000	0.5640	0.0000	0.4360	-2.4941	11.2907	-7.3848	8.5656	0.0419
HG01444	AMR	AMR	0.0000	0.0040	0.9954	0.0000	0.0005	6.1208	-2.5900	-10.8191	-5.4034	1.4548
HG01247	AMR	AMR	0.0000	0.0620	0.9380	0.0000	0.0000	10.5295	0.7307	-8.8237	-0.8090	-0.1981
NA20525	EUR	EUR	0.0000	0.0000	0.0194	0.0000	0.9806	1.1459	12.2754	-2.9448	9.5989	0.5468
HG03073	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	63.7559	-18.1711	-0.6828	2.3231	1.3261
HG00231	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	-0.5324	12.4079	-6.3728	7.3635	0.3828
HG02623	AFR	AFR	0.0000	0.9990	0.0010	0.0000	0.0000	61.6060	-17.6365	-1.5194	1.4664	-0.1397
HG01595	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.2585	-44.4466	-2.4099	7.4242	4.5045
NA12842	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	-0.7625	13.2789	-4.9796	10.8200	2.1475
HG00864	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.2169	-43.8243	-0.7730	9.4979	7.6644
NA18948	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7798	-44.3173	-2.7374	5.7512	-7.3964
HG01341	AMR	AMR	0.0000	0.0002	0.9998	0.0000	0.0000	-3.1281	-10.9090	-14.0457	-18.9123	0.2634
HG00879	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-6.7064	-44.6496	-1.3293	7.7981	10.0618
NA18646	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1035	-44.0888	-2.2728	6.4511	-2.5628
HG04098	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9264	-7.7704	19.2095	-2.9478	0.8290
HG03792	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6923	-5.4769	17.5904	-4.7413	1.2577
NA18599	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-6.8711	-43.5171	-3.5084	5.7877	-1.5371
HG02002	AMR	AMR	0.0000	0.0016	0.9984	0.0000	0.0000	-4.9451	-17.2001	-20.4990	-29.8243	2.4254
NA12044	EUR	EUR	0.0000	0.0000	0.0201	0.0000	0.9799	1.1558	13.3777	-6.3475	11.1508	0.3136
HG01107	AMR	AMR	0.0005	0.0411	0.9583	0.0000	0.0001	13.3744	2.2846	-7.1025	2.6375	-2.4270
HG02477	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	55.3854	-13.7175	-0.7899	2.5396	0.7609
NA20542	EUR	EUR	0.0000	0.0000	0.0130	0.0000	0.9870	1.2356	11.7310	-2.8313	9.4555	3.7845
NA19734	AMR	AMR	0.0000	0.0005	0.9995	0.0000	0.0000	-4.7494	-10.9445	-16.5853	-19.6972	1.8685
HG03973	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.8759	-7.5176	20.1523	-4.6454	4.6397
HG02057	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6282	-42.7538	-0.0171	8.2604	5.0634
HG02798	AFR	AFR	0.0000	0.9964	0.0036	0.0000	0.0000	60.6259	-17.7092	0.5888	0.5727	-1.5508
NA19247	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	62.5858	-18.7670	-0.1293	3.6787	1.2292
HG02610	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	61.6527	-16.8954	-0.0141	1.2554	0.3318
NA11830	EUR	EUR	0.0000	0.0000	0.0015	0.0000	0.9985	0.6166	12.3573	-4.3518	9.2124	1.0715
NA19652	AMR	AMR	0.0004	0.0006	0.8715	0.0032	0.1244	0.8198	0.9501	-9.1084	-4.1382	1.0564
NA18949	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.6139	-42.4902	-2.0872	6.7623	-5.5189
NA20321	AFR	AFR	0.0000	0.9987	0.0013	0.0000	0.0000	50.1383	-11.7514	-1.5688	2.4982	4.6745
HG02385	EAS	EAS	0.9998	0.0000	0.0002	0.0000	0.0000	-6.7174	-43.9830	-1.5094	8.1582	7.6406
NA18641	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.6657	-44.1405	-3.4428	6.2284	-1.8622
NA20801	EUR	EUR	0.0000	0.0000	0.0235	0.0000	0.9765	1.6770	13.8800	-5.6134	10.7796	4.5840
NA21087	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1063	-7.2228	18.2938	-5.4134	1.4540
NA18961	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5734	-44.3261	-1.7619	4.7736	-5.9828
HG03048	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	62.2901	-16.7395	-0.4217	1.4591	0.0669
NA19146	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	62.6504	-18.0791	-0.1365	0.5359	1.2136
HG00473	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.1444	-46.0322	-4.0810	8.6552	2.4702
HG03802	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.7968	-11.7330	17.6563	-1.7027	2.1153
HG00158	EUR	EUR	0.0000	0.0000	0.0146	0.0000	0.9854	-0.0118	10.4540	-5.5026	7.3350	2.9206
NA20902	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6433	-6.1668	19.0903	-6.1108	0.1170
NA20278	AFR	AFR	0.0000	0.9675	0.0325	0.0000	0.0000	31.1686	-1.1519	-2.3527	6.6622	1.2718
NA20852	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6357	-4.5934	16.8691	-5.5122	0.7567
HG00629	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.6253	-44.7026	-3.2524	7.6613	-2.3790
NA19720	AMR	AMR	0.0000	0.0274	0.9726	0.0000	0.0000	-0.1646	-12.3240	-17.2432	-17.7743	-3.1790
HG01447	AMR	AMR	0.0000	0.0104	0.9896	0.0000	0.0000	3.5003	1.6844	-8.4240	-2.5334	1.2890
HG01242	AFR	AMR	0.0000	0.9594	0.0406	0.0000	0.0000	30.6802	-3.5020	-2.6719	2.4337	3.5796
HG01506	EUR	EUR	0.0000	0.0000	0.0081	0.0000	0.9919	2.3876	13.2342	-4.2452	8.8425	0.5001
HG03869	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.4177	-7.8745	18.0089	-6.9030	-0.9821
HG00290	EUR	EUR	0.0007	0.0000	0.2387	0.0000	0.7606	-1.2493	6.5285	-4.6730	8.5449	-0.0203
HG03571	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.7920	-18.2323	0.4430	2.4022	-0.7988
NA20582	EUR	EUR	0.0000	0.0000	0.0032	0.0000	0.9968	0.7644	13.8197	-5.2617	9.0538	0.3548
NA20910	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.6450	-0.2790	12.4159	-2.4186	3.0590
HG01122	EUR	AMR	0.0000	0.0000	0.3455	0.0000	0.6545	4.2533	4.8387	-9.5035	-2.0925	2.5871
NA19756	AMR	AMR	0.0000	0.0042	0.9958	0.0000	0.0000	0.5066	-8.2053	-13.4626	-11.2144	-1.6266
NA18972	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.1213	-42.6684	-3.8691	6.4348	-2.6005
HG01593	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7883	0.5452	14.2635	-1.7711	-2.1639
HG00436	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2960	-44.2016	-2.8267	8.7289	2.6138
NA20887	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.4475	-6.1719	15.3289	-2.3700	3.1870
HG01519	EUR	EUR	0.0000	0.0000	0.0996	0.0000	0.9004	0.1604	13.9716	-4.9876	9.8105	3.9351
NA21090	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9679	-6.2359	20.2338	-5.1135	4.6348
NA20877	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.2817	-5.0035	17.3768	-5.1203	5.0794
HG03720	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0587	-8.7875	20.0287	-7.0230	0.2448
NA18642	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-6.2667	-42.0974	-3.3884	5.4615	-2.5763
HG03868	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.0277	-4.7954	17.9370	-4.7276	1.9372
HG01565	AMR	AMR	0.0000	0.0002	0.9998	0.0000	0.0000	-3.9628	-12.3856	-17.7397	-23.3666	-0.8879
HG00690	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0952	-44.1052	-2.2965	6.9233	3.4794
NA19923	AFR	AFR	0.0000	0.7816	0.2184	0.0000	0.0000	38.7176	-7.1227	-1.6661	2.4911	-2.6550
NA11919	EUR	EUR	0.0000	0.0000	0.0067	0.0000	0.9933	0.6908	14.0464	-5.8283	7.8806	1.9385
NA19011	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.6456	-42.6287	-3.5073	6.1428	-2.3664
HG03133	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	63.9415	-17.6570	-0.1393	0.8035	-1.5562
NA19090	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.4837	-43.7069	-3.1048	7.5876	-6.8667
HG01363	AMR	AMR	0.0002	0.0057	0.9941	0.0000	0.0000	8.8735	-4.1521	-9.9104	-2.3289	-0.9363
NA20768	EUR	EUR	0.0000	0.0000	0.0017	0.0000	0.9983	0.7409	11.7455	-4.8536	10.7413	1.9888
HG01089	AMR	AMR	0.0000	0.0040	0.9959	0.0000	0.0001	9.3804	1.8550	-6.7904	2.5891	3.4220
NA19043	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	60.1549	-17.2416	0.6800	0.1245	-0.1421
HG04020	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0922	-6.9036	17.8209	-4.6523	0.6137
HG03886	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.5006	-8.6580	19.9718	-6.8754	1.3331
HG03619	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1217	-1.0552	9.9900	-1.2732	-0.1766
HG03916	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.3644	-10.5234	18.4113	-3.9957	0.1606
HG00146	EUR	EUR	0.0000	0.0000	0.0286	0.0000	0.9714	0.4900	13.2833	-6.1185	10.0798	-1.5366
HG02722	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	62.1935	-16.6820	0.0229	2.0210	2.4419
NA20346	AFR	AFR	0.0000	0.9981	0.0019	0.0000	0.0000	51.9204	-12.9542	-0.5353	3.6474	2.7412
HG00335	EUR	EUR	0.0000	0.0000	0.0190	0.0000	0.9810	-2.8005	10.7807	-7.9500	8.2737	-3.9971
HG02054	AFR	AFR	0.0000	0.9993	0.0007	0.0000	0.0000	56.1797	-14.3491	-2.5145	2.6805	2.0836
HG01798	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.8397	-43.2245	-1.8760	8.3511	4.6833
HG01097	AMR	AMR	0.0000	0.0034	0.9960	0.0002	0.0004	7.7382	4.4793	-7.5352	2.1613	0.1057
HG03989	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3666	-7.8974	19.7854	-5.4605	0.8540
NA18498	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	63.6508	-17.8471	0.5851	1.8600	4.2669
NA19138	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	62.5019	-16.6356	0.1304	1.1639	2.0310
HG03672	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6161	-10.0638	19.3045	-6.7975	-0.6603
NA19171	AFR	AFR	0.0000	0.9995	0.0005	0.0000	0.0000	60.9278	-17.7188	0.5654	0.8431	2.1183
HG02224	EUR	EUR	0.0000	0.0000	0.0128	0.0000	0.9872	-0.1636	13.0464	-5.6563	9.6765	0.6857
NA19074	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0360	-42.8787	-3.0949	5.1856	-2.2798
HG03753	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3256	-7.9796	18.8183	-5.3107	0.4941
NA10847	EUR	EUR	0.0000	0.0000	0.0254	0.0000	0.9746	0.6363	13.4174	-5.9483	7.0209	3.9363
HG01462	AMR	AMR	0.0000	0.1180	0.8820	0.0000	0.0000	14.3227	-8.7503	-9.0682	-8.8379	1.1256
