name	Kids First Biospecimen ID
1250596_D1	BS_H5YW42AY
1250595_D1	BS_7412MJ6E
1250594_D1	BS_0NWDAGKQ
1250593_D1	BS_AZPVVXFS
1250592_D1	BS_H1W0SX2H
1250590_D1	BS_VH5544R2
1250589_D1	BS_A9TRDBBY
1250587_D1	BS_AVRAY5XH
1250586_D1	BS_WE9SYCCE
1250585_D1	BS_Y38K3YCQ
1250584_D1	BS_9GY1MEF0
1250583_D1	BS_AHRMRAPP
1250582_D1	BS_17WG7X67
1250581_D1	BS_V3M5PW71
1250580_D1	BS_WYYYDVG0
1250579_D1	BS_QD1S5JDX
1250578_D1	BS_A20FHTWX
1250577_D1	BS_QB0QEZ1E
1250576_D1	BS_H5210PS1
1250575_D1	BS_BRCZCSZE
1250574_D1	BS_9Q6YAF4A
1250572_D1	BS_4FTRHMZK
1250571_D1	BS_8SR5GT22
1250570_D1	BS_F3RPQVHE
1250569_D1	BS_2D2AGD2W
1250568_D1	BS_XAGKH813
1250567_D1	BS_T0MECPMN
1250566_D1	BS_WDJ700JM
1250565_D1	BS_5CHT00HN
1250563_D1	BS_VPB66VG0
1250562_D1	BS_NZ8SSQKH
1250528_D1	BS_1DW880HM
1250526_D1	BS_58XHTA5Q
1249829_D1	BS_CPHMDT93
1249828_D1	BS_Y1HPE7KA
1249827_D1	BS_FXSJE3PH
1249826_D1	BS_D73A544P
1249825_D1	BS_1X3JQ424
1249824_D1	BS_QKW8P229
1249823_D1	BS_GVVRY4YJ
1249821_D1	BS_G5A9M5BS
1249820_D1	BS_39B33SGQ
1249819_D1	BS_RB1YEVY5
1249818_D1	BS_9ERAJGN5
1249817_D1	BS_WEP3M4HT
1249816_D1	BS_R7V1J98Q
1249815_D1	BS_TZ5YARH0
1249814_D1	BS_CJDHVN59
1249813_D1	BS_MJWX2F6H
1249812_D1	BS_XNJN1Y0A
1249811_D1	BS_AW3AXTGQ
1249810_D1	BS_3VMWCBV7
1249809_D1	BS_T5GG0KTT
1249808_D1	BS_9A47JA49
1249807_D1	BS_XJYA5SVB
1249806_D1	BS_Z1EWPKSK
1249805_D1	BS_5JA8FSMK
1249804_D1	BS_ZWVDA8R3
1249803_D1	BS_ANERH32P
1249801_D1	BS_H27NN3ZT
1249799_D1	BS_B21Q9KPG
1249798_D1	BS_3S52DQ5M
1249797_D1	BS_XTE7Q0HP
1249796_D1	BS_GFQ7DJGV
1249795_D1	BS_3DNHBRNW
1249794_D1	BS_YT23ENKV
1249793_D1	BS_VVSH743R
1249792_D1	BS_WX1XR5S2
1248877_D1	BS_A385FF70
1248830_D1	BS_VRF7MQ2X
1248829_D1	BS_Y1HZT376
1248828_D1	BS_KMEHFVFN
1248827_D1	BS_4D998GEX
1248826_D1	BS_PRRWRK7F
1248825_D1	BS_E64JXDG2
1248824_D1	BS_H3C09MHB
1248823_D1	BS_26EPX7HQ
1248822_D1	BS_1SZBBH1X
1248821_D1	BS_VMWT4S7S
1248820_D1	BS_87E8F1HP
1248819_D1	BS_EGND7Y7E
1248818_D1	BS_G6EZ5P9H
1248817_D1	BS_NYMKGH2A
1248815_D1	BS_N6SZ2ZQS
1248814_D1	BS_YP590XXP
1248813_D1	BS_51EHJCDY
1248811_D1	BS_0TZZZVDW
1248809_D1	BS_PMG2P954
1248808_D1	BS_XATN0RZD
1248807_D1	BS_HH860Q49
1248805_D1	BS_SYEY2CXZ
1248803_D1	BS_R1W2HB8N
1248802_D1	BS_F48KKMFX
1248801_D1	BS_CT7H57PN
1248800_D1	BS_CJKD43B6
1248799_D1	BS_BGCTFBP9
1248798_D1	BS_04E9N0SK
1248797_D1	BS_6G0A23GM
1248796_D1	BS_S845Q0HA
1248795_D1	BS_4N2P9127
1213340_D1	BS_01RFMJNT
1223635_D1	BS_02MN8B6F
1233086_D1	BS_04G6D4W2
1223641_D1	BS_07A2JAZE
1213794_D1	BS_0AECKF51
1223754_D1	BS_0AKG6PES
1213714_D1	BS_0BZKABDK
1214234_D1	BS_0DZKCTME
1213318_D1	BS_0HV7YW6M
1223967_D1	BS_0J791B1M
1224584_D1	BS_0K2KJKT6
1223285_D1	BS_0MGSQ9WS
1213818_D1	BS_0NFDBE6G
1213317_D1	BS_0PCDB6J5
1236467_D1	BS_0SDTWCY3
1223787_D1	BS_0SFZMQZ1
1223783_D1	BS_0TMD6Z0Z
1213346_D1	BS_0TMFT8TX
1223766_D1	BS_0VRSG921
1236460_D1	BS_0X61ZVF7
1223654_D1	BS_0YKSTNJA
1223804_D1	BS_0Z9H5W8G
1223760_D1	BS_10R0PFJR
1223762_D1	BS_121SZC2Z
1213351_D1	BS_131RKH2X
1223619_D1	BS_14JX027X
1224603_D1	BS_17QQY4TN
1248742_D1	BS_19SJ6HYZ
1223731_D1	BS_1B3FFWHP
1213836_D1	BS_1BAWJJR7
1223693_D1	BS_1CHM1YN7
1223263_D1	BS_1FPVXAQR
1223278_D1	BS_1FRR5PN3
1213708_D1	BS_1KB9QGGE
1214251_D1	BS_1P8M288P
1213716_D1	BS_1QFYFF8X
1223226_D1	BS_1QJZNS57
1223199_D1	BS_1VD6C04K
1226098_D1	BS_1VFX8KT8
1224612_D1	BS_1WRWVYTD
1224607_D1	BS_1X63PF0Q
1224618_D1	BS_1XD43GA5
1213804_D1	BS_1XM48RH7
1248736_D1	BS_1YWQ4H9N
1224582_D1	BS_1ZHT865M
1223651_D1	BS_21AZ6ZRZ
1213838_D1	BS_22N5N72T
1223694_D1	BS_22ZXRP58
1223672_D1	BS_23H0PEBD
1223656_D1	BS_24PPG98R
1224650_D1	BS_24RR82Q8
1223737_D1	BS_24Y7XQGA
1214256_D1	BS_25K7D2Y9
1213720_D1	BS_26RMS9VV
1213745_D1	BS_29FPFHAW
1223212_D1	BS_2CAH6H1H
1223652_D1	BS_2D1FDNX3
1223677_D1	BS_2DAN8S59
1223793_D1	BS_2ES9C50B
1224580_D1	BS_2J6FFWRB
1214185_D1	BS_2JRP9Z5S
1213815_D1	BS_2PRQNP3N
1213747_D1	BS_2PVZE2AG
1213718_D1	BS_2QKNR31W
1230604_D1	BS_2V2QAAX5
1213681_D1	BS_2WGC8HTM
1213740_D1	BS_2XH3T1FG
1214218_D1	BS_30NDN14D
1223235_D1	BS_311ANY1Q
1213730_D1	BS_318X0DYM
1223698_D1	BS_323M5GTZ
1213737_D1	BS_344NTSXQ
1224621_D1	BS_366S29ZQ
1224649_D1	BS_36NRPEXX
1223616_D1	BS_38E8TFP5
1223744_D1	BS_39PND0JF
1214222_D1	BS_3A20RBVE
1226086_D1	BS_3A3CYTFZ
1214244_D1	BS_3DEZRTR3
1248756_D1	BS_3DFHVTTT
1224660_D1	BS_3E5M53Z7
1213293_D1	BS_3FWGBMR7
1213819_D1	BS_3H3W1PVH
1224637_D1	BS_3J7MF1Z3
1213350_D1	BS_3M12XXCR
1236463_D1	BS_3N11XY26
1223230_D1	BS_3PMMVEM6
1223222_D1	BS_3QV589RW
1214211_D1	BS_3RYXSDKF
1224587_D1	BS_3V1PPB48
1213315_D1	BS_3WWD1YJP
1213717_D1	BS_3WYSRM29
1223286_D1	BS_3YDBKBGB
1233019_D1	BS_3YZ50N20
1223622_D1	BS_40PVF0T7
1213743_D1	BS_4412R6X4
1223819_D1	BS_46H4TYCX
1223658_D1	BS_46K0RP9Z
1223262_D1	BS_4732YSHR
1213702_D1	BS_49N00R6R
1223216_D1	BS_4BXA0H65
1223772_D1	BS_4DNTGKDD
1237413_D1	BS_4J67AWY5
1226081_D1	BS_4M01QXWQ
1214262_D1	BS_4NFWWRD8
1213859_D1	BS_4QQ9E06V
1213301_D1	BS_4S3K77FP
1214272_D1	BS_4T6RGBVM
1213831_D1	BS_4TRTSPDC
1224646_D1	BS_4ZFQH6TK
1213264_D1	BS_50HGKMFH
1223791_D1	BS_5193WSH5
1248743_D1	BS_52A4PMWT
1223682_D1	BS_52NEDKWJ
1213321_D1	BS_53HYMACN
1223640_D1	BS_54TR9RN5
1224581_D1	BS_54XDDRSR
1223784_D1	BS_55DZ40MT
1213694_D1	BS_5834KZF4
1248785_D1	BS_5BHAAQVJ
1224585_D1	BS_5C4VJKT3
1223757_D1	BS_5FC1GHTG
1223679_D1	BS_5FKK81CW
1223631_D1	BS_5G92J9KA
1248782_D1	BS_5GEAJ2XE
1223220_D1	BS_5ND0V5AZ
1213325_D1	BS_5NHJ45B1
1213852_D1	BS_5QJAG0QW
1224613_D1	BS_5RTSS5DW
1213793_D1	BS_5T2NGSBR
1223782_D1	BS_5WB0ECHC
1237418_D1	BS_5XP9YBZT
1214258_D1	BS_5YAEHKD5
1213855_D1	BS_5YHNN5G5
1223817_D1	BS_61FCMAG7
1223802_D1	BS_641CHG5N
1236483_D1	BS_65FNRFMM
1223606_D1	BS_66E06T3S
1248761_D1	BS_66RH158D
1213841_D1	BS_66VYPXCT
1213851_D1	BS_68WASGJD
1223247_D1	BS_69BE9DWN
1233084_D1	BS_6G9QNPG1
1237424_D1	BS_6GATMBX6
1213762_D1	BS_6GEDTXKM
1223756_D1	BS_6MS445WA
1213785_D1	BS_6NEED5N0
1223801_D1	BS_6S4F9542
1214220_D1	BS_6S8PDDD6
1213296_D1	BS_6SA7CEMV
1213339_D1	BS_6WYB7E58
1223768_D1	BS_6YM4M1Q7
1214202_D1	BS_701EMY7H
1230657_D1	BS_703HQQWJ
1223242_D1	BS_70DAH3K4
1213823_D1	BS_70K64DY9
1213801_D1	BS_71K5NQGF
1223821_D1	BS_72KFQZHK
1223644_D1	BS_736131DT
1223803_D1	BS_739AR77T
1214259_D1	BS_75T0K0GV
1224644_D1	BS_77KJMS8Y
1213765_D1	BS_78K87B22
1213713_D1	BS_7B0Y8P4K
1214186_D1	BS_7B5S6KPB
1223638_D1	BS_7FKNAW39
1248748_D1	BS_7H8QBGDA
1226088_D1	BS_7HBMC1VC
1223786_D1	BS_7N46Y3Y1
1223204_D1	BS_7NA7PF1E
1236471_D1	BS_7P2D1F4X
1213746_D1	BS_7QM74ZQ5
1224616_D1	BS_7QNS9EYW
1223207_D1	BS_7RBEFYYQ
1213354_D1	BS_7SE2CXHP
1213833_D1	BS_7XG04FQT
1214182_D1	BS_7ZQ1JVVS
1224638_D1	BS_85D6M2ZN
1224595_D1	BS_86TFE982
1224602_D1	BS_875BA4QG
1213703_D1	BS_877M0HVM
1223797_D1	BS_89Q27Z7Q
1223882_D1	BS_8B6A5A8D
1213839_D1	BS_8CBDRARJ
1223906_D1	BS_8D6DGAQW
1248747_D1	BS_8EVR9152
1213744_D1	BS_8N35EM5V
1223681_D1	BS_8N5H2JBA
1223246_D1	BS_8NBX80Z2
1248759_D1	BS_8NCEW858
1223279_D1	BS_8NPZJTP6
1223675_D1	BS_8Q89SMAP
1224657_D1	BS_8QAGZG10
1223735_D1	BS_8QKDGV8X
1232567_D1	BS_8RTC36WH
1223800_D1	BS_8T5MDFDY
1236480_D1	BS_8V3H23EJ
1223881_D1	BS_8VS4S89T
1223874_D1	BS_8W50S10Z
1223662_D1	BS_8XF5ZNPJ
1214204_D1	BS_8Y4TQ9M6
1233081_D1	BS_8YHS8TKX
1223779_D1	BS_91VG0Q26
1213680_D1	BS_922HG7C2
1248767_D1	BS_93BVRV62
1223747_D1	BS_93T0SHE9
