#sample_id	predicted_ancestry	given_ancestry	CHB_prob	KHV_prob	CHS_prob	ASW_prob	CDX_prob	YRI_prob	GWD_prob	MXL_prob	ITU_prob	CEU_prob	IBS_prob	GIH_prob	ACB_prob	CLM_prob	LWK_prob	PUR_prob	BEB_prob	FIN_prob	PEL_prob	MSL_prob	ESN_prob	TSI_prob	PJL_prob	GBR_prob	STU_prob	JPT_prob	PC1	PC2	PC3	PC4	PC5
1249828_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.1683	0.2915	0.0000	0.0000	0.0069	0.0000	0.0145	0.0000	0.1609	0.0000	0.0000	0.0000	0.1977	0.0000	0.1597	0.0000	0.0000	-1.0713	-13.7240	-5.1877	-8.9225	-2.1099
1249829_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.1620	0.2540	0.0000	0.0000	0.0081	0.0000	0.0138	0.0000	0.2407	0.0000	0.0000	0.0000	0.1746	0.0000	0.1461	0.0000	0.0000	0.9896	-10.8646	-5.3270	-10.2961	-2.4636
1250524_D1_unknown	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1635	0.2570	0.0000	0.0000	0.0106	0.0000	0.0204	0.0000	0.1967	0.0000	0.0000	0.0000	0.1978	0.0000	0.1532	0.0000	0.0000	-0.7410	-12.0493	-3.2033	-8.1842	0.4677
1250526_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.1619	0.2772	0.0000	0.0000	0.0115	0.0000	0.0214	0.0000	0.2028	0.0000	0.0000	0.0000	0.1769	0.0000	0.1474	0.0000	0.0000	-0.3105	-12.1287	-6.9020	-8.6202	-1.8585
1250527_D1	ACB		0.0000	0.0000	0.0000	0.3160	0.0000	0.0214	0.0458	0.0000	0.0000	0.0000	0.0000	0.0000	0.4476	0.0011	0.1114	0.0108	0.0000	0.0000	0.0004	0.0172	0.0283	0.0000	0.0000	0.0000	0.0000	0.0000	-50.0262	11.0176	-0.4364	-4.5046	0.9264
1250528_D1	PJL		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0129	0.0001	0.0001	0.2378	0.0000	0.0000	0.0000	0.0001	0.0000	0.0002	0.0000	0.0000	0.0000	0.0017	0.7454	0.0001	0.0014	0.0000	-2.7647	-3.6033	8.2746	0.4187	-3.1380
1250542_D1	CLM		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0373	0.0000	0.0643	0.0520	0.0000	0.0000	0.2727	0.0000	0.2124	0.0000	0.2527	0.0000	0.0000	0.0000	0.0573	0.0000	0.0512	0.0000	0.0000	2.1228	-7.1178	-6.7574	-0.7699	-0.3195
1250554_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1662	0.2501	0.0000	0.0000	0.0109	0.0000	0.0202	0.0000	0.2230	0.0000	0.0000	0.0000	0.1745	0.0000	0.1542	0.0000	0.0000	-0.3023	-11.9065	-4.9107	-8.3661	-3.0449
1250562_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.1558	0.2332	0.0000	0.0000	0.0129	0.0000	0.0212	0.0000	0.2646	0.0000	0.0000	0.0000	0.1719	0.0000	0.1393	0.0000	0.0000	0.8053	-9.9278	-4.4199	-9.1055	0.4245
1250563_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.1283	0.2489	0.0000	0.0001	0.0234	0.0000	0.0740	0.0000	0.2201	0.0000	0.0000	0.0000	0.1905	0.0000	0.1122	0.0000	0.0000	-2.9503	-8.4541	-3.5632	-8.6021	-0.5844
1250565_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.1618	0.2579	0.0000	0.0000	0.0093	0.0000	0.0185	0.0000	0.2057	0.0000	0.0000	0.0000	0.1961	0.0000	0.1499	0.0000	0.0000	-0.4785	-11.5535	-3.3147	-9.0534	-1.2708
1250566_D1	PUR		0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0305	0.0000	0.0013	0.0024	0.0000	0.0001	0.1603	0.0000	0.7907	0.0000	0.0102	0.0001	0.0000	0.0000	0.0027	0.0000	0.0009	0.0000	0.0000	-11.6724	-1.2190	-7.2699	0.3998	-0.2597
1250567_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0032	0.0000	0.1391	0.2216	0.0000	0.0000	0.0329	0.0000	0.0621	0.0000	0.2503	0.0000	0.0000	0.0000	0.1689	0.0000	0.1220	0.0000	0.0000	-0.8373	-9.1964	-4.3820	-6.4171	-1.7747
1250568_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1592	0.2603	0.0000	0.0000	0.0110	0.0000	0.0208	0.0000	0.2211	0.0000	0.0000	0.0000	0.1823	0.0000	0.1445	0.0000	0.0000	-0.1197	-11.1597	-5.0880	-9.1257	-1.5303
1250569_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.1524	0.2756	0.0000	0.0000	0.0169	0.0000	0.0431	0.0000	0.1605	0.0000	0.0000	0.0000	0.2072	0.0000	0.1430	0.0000	0.0000	-2.9631	-12.5347	-3.7455	-6.5762	-0.3337
1250570_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.1584	0.2393	0.0000	0.0000	0.0207	0.0000	0.0307	0.0000	0.2419	0.0000	0.0000	0.0000	0.1651	0.0000	0.1421	0.0000	0.0000	0.4633	-11.0757	-6.1169	-6.8575	-0.7923
1250571_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.1619	0.2777	0.0000	0.0000	0.0102	0.0000	0.0222	0.0000	0.1768	0.0000	0.0000	0.0000	0.1989	0.0000	0.1516	0.0000	0.0000	-1.4048	-12.6243	-4.4399	-8.2808	-0.9291
1250572_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1573	0.2930	0.0000	0.0000	0.0115	0.0000	0.0307	0.0000	0.1415	0.0000	0.0000	0.0000	0.2146	0.0000	0.1506	0.0000	0.0000	-3.1615	-13.6160	-3.8788	-7.2172	-0.0878
1250574_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.1626	0.2706	0.0000	0.0000	0.0138	0.0000	0.0262	0.0000	0.1866	0.0000	0.0000	0.0000	0.1883	0.0000	0.1509	0.0000	0.0000	-1.0012	-12.5995	-5.3381	-7.3155	-1.3988
1250575_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.1636	0.2861	0.0000	0.0000	0.0125	0.0000	0.0252	0.0000	0.1689	0.0000	0.0000	0.0000	0.1896	0.0000	0.1531	0.0000	0.0000	-1.4413	-13.3499	-6.1342	-7.3371	-0.8595
1250576_D1	ACB		0.0000	0.0000	0.0000	0.2512	0.0000	0.0361	0.0659	0.0000	0.0000	0.0000	0.0000	0.0000	0.4286	0.0005	0.1365	0.0050	0.0000	0.0000	0.0003	0.0285	0.0473	0.0000	0.0000	0.0000	0.0000	0.0000	-52.1173	12.0242	-1.7663	-0.7596	-0.3521
1250577_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0211	0.0000	0.0737	0.1176	0.0000	0.0001	0.1419	0.0000	0.2472	0.0000	0.2516	0.0000	0.0000	0.0000	0.0881	0.0000	0.0587	0.0000	0.0000	-0.9949	-4.8566	-6.3758	-3.2946	-0.5811
1250578_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.1510	0.2417	0.0000	0.0000	0.0213	0.0000	0.0396	0.0000	0.2314	0.0000	0.0000	0.0000	0.1778	0.0000	0.1354	0.0000	0.0000	-0.6568	-10.4573	-4.6924	-7.1658	-0.7511
1250579_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.1577	0.2582	0.0000	0.0000	0.0179	0.0000	0.0351	0.0000	0.1930	0.0000	0.0000	0.0000	0.1913	0.0000	0.1454	0.0000	0.0000	-1.3171	-11.9525	-4.3137	-6.6663	-2.0311
1250580_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.1621	0.2801	0.0000	0.0000	0.0102	0.0000	0.0208	0.0000	0.1871	0.0000	0.0000	0.0000	0.1892	0.0000	0.1497	0.0000	0.0000	-0.8907	-12.4051	-5.6079	-8.6749	-2.1103
1250581_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.1693	0.2567	0.0000	0.0000	0.0092	0.0000	0.0154	0.0000	0.2019	0.0000	0.0000	0.0000	0.1884	0.0000	0.1585	0.0000	0.0000	0.1648	-12.4670	-4.1433	-8.3842	-0.9108
1250582_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.1651	0.2705	0.0000	0.0000	0.0087	0.0000	0.0165	0.0000	0.1970	0.0000	0.0000	0.0000	0.1882	0.0000	0.1533	0.0000	0.0000	-0.3133	-12.3004	-5.0202	-9.0711	-0.3453
1250583_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.1511	0.2859	0.0000	0.0000	0.0117	0.0000	0.0334	0.0000	0.1645	0.0000	0.0000	0.0000	0.2119	0.0000	0.1407	0.0000	0.0000	-2.8748	-11.9997	-3.6178	-8.4103	-1.6655
1250584_D1	STU		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1889	0.0000	0.0000	0.1648	0.0000	0.0000	0.0000	0.0000	0.1823	0.0000	0.0000	0.0000	0.0000	0.0000	0.1104	0.0000	0.3537	0.0000	-1.3247	9.1134	18.0972	2.8592	-0.9220
1250585_D1	ACB		0.0000	0.0000	0.0000	0.2519	0.0000	0.0367	0.0678	0.0000	0.0000	0.0000	0.0000	0.0000	0.4224	0.0004	0.1392	0.0033	0.0000	0.0000	0.0002	0.0294	0.0486	0.0000	0.0000	0.0000	0.0000	0.0000	-52.0318	12.9176	-0.4040	-2.9506	-2.6426
1250586_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.1576	0.2379	0.0000	0.0000	0.0134	0.0000	0.0218	0.0000	0.2540	0.0000	0.0000	0.0000	0.1728	0.0000	0.1413	0.0000	0.0000	0.7074	-10.3313	-4.7116	-8.7543	-1.0783
1250587_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.1675	0.2939	0.0000	0.0000	0.0072	0.0000	0.0150	0.0000	0.1640	0.0000	0.0000	0.0000	0.1939	0.0000	0.1580	0.0000	0.0000	-0.9955	-13.6086	-5.7534	-9.0072	-2.1706
1250588_D1	ACB		0.0000	0.0000	0.0000	0.2118	0.0000	0.0479	0.0814	0.0000	0.0000	0.0000	0.0000	0.0000	0.4013	0.0002	0.1533	0.0022	0.0000	0.0000	0.0002	0.0380	0.0637	0.0000	0.0000	0.0000	0.0000	0.0000	-53.5340	13.2729	-0.9601	-3.1040	-1.5152
1250589_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.1567	0.2474	0.0000	0.0000	0.0133	0.0000	0.0270	0.0000	0.2128	0.0000	0.0000	0.0000	0.1974	0.0000	0.1444	0.0000	0.0000	-0.9009	-10.9784	-2.6616	-8.1137	-0.6298
1250590_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1619	0.2759	0.0000	0.0000	0.0101	0.0000	0.0186	0.0000	0.2108	0.0000	0.0000	0.0000	0.1750	0.0000	0.1468	0.0000	0.0000	0.0159	-11.8623	-6.9438	-9.2695	-1.8878
1250591_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.1531	0.2693	0.0000	0.0000	0.0173	0.0000	0.0351	0.0000	0.2090	0.0000	0.0000	0.0000	0.1770	0.0000	0.1377	0.0000	0.0000	-1.0555	-11.3187	-6.5968	-7.8272	-0.4824
1250592_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.1575	0.2261	0.0000	0.0000	0.0170	0.0000	0.0270	0.0000	0.2564	0.0000	0.0000	0.0000	0.1727	0.0000	0.1419	0.0000	0.0000	0.5093	-10.3306	-3.8926	-7.6360	-2.7286
1250593_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.1622	0.2433	0.0000	0.0000	0.0128	0.0000	0.0217	0.0000	0.2493	0.0000	0.0000	0.0000	0.1625	0.0000	0.1471	0.0000	0.0000	0.3409	-11.1254	-6.0048	-8.5485	-3.0261
1250594_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.1476	0.2459	0.0000	0.0000	0.0183	0.0000	0.0425	0.0000	0.2125	0.0000	0.0000	0.0000	0.1977	0.0000	0.1338	0.0000	0.0000	-1.6833	-10.2544	-2.6499	-7.6290	-2.2097
1250595_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1668	0.2502	0.0000	0.0000	0.0108	0.0000	0.0192	0.0000	0.1967	0.0000	0.0000	0.0000	0.1985	0.0000	0.1570	0.0000	0.0000	-0.4264	-12.2758	-2.7003	-7.7283	-1.1469
1250596_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.1567	0.2723	0.0000	0.0000	0.0112	0.0000	0.0264	0.0000	0.1846	0.0000	0.0000	0.0000	0.2023	0.0000	0.1457	0.0000	0.0000	-1.7455	-11.8557	-3.7449	-8.4830	0.2536
1272843_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.1654	0.2595	0.0000	0.0000	0.0145	0.0000	0.0259	0.0000	0.1860	0.0000	0.0000	0.0000	0.1922	0.0000	0.1554	0.0000	0.0000	-0.9256	-12.8140	-4.2496	-6.6400	0.0445
1272844_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.1525	0.2583	0.0000	0.0000	0.0131	0.0000	0.0276	0.0000	0.2262	0.0000	0.0000	0.0000	0.1843	0.0000	0.1369	0.0000	0.0000	-0.6528	-10.4276	-4.7818	-9.0947	-1.6456
1272845_D1	FIN		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0080	0.0000	0.1210	0.1670	0.0000	0.0000	0.0710	0.0000	0.0846	0.0000	0.3289	0.0000	0.0000	0.0000	0.1191	0.0000	0.1003	0.0000	0.0000	1.4500	-7.3038	-6.8336	-4.7072	-1.8393
1272846_D1	MXL		0.0002	0.0000	0.0000	0.1106	0.0000	0.0000	0.0000	0.4789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0167	0.0000	0.0000	0.0000	0.0000	0.3868	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0068	7.9251	28.2226	-11.8668	12.5682	-6.3407
1272847_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.1619	0.2943	0.0000	0.0000	0.0081	0.0000	0.0192	0.0000	0.1636	0.0000	0.0000	0.0000	0.2004	0.0000	0.1520	0.0000	0.0000	-1.6546	-13.0699	-5.1318	-8.9958	-2.1162
1272848_D1	CLM		0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.3546	0.0000	0.0000	0.0000	0.0000	0.0000	0.5906	0.0000	0.0356	0.0000	0.0001	0.0189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0285	2.0977	-12.4303	7.1002	-0.9676
1272849_D1	MXL		0.0000	0.0000	0.0000	0.0119	0.0000	0.0000	0.0000	0.5156	0.0000	0.0000	0.0000	0.0000	0.0000	0.0845	0.0000	0.0000	0.0000	0.0000	0.3880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0947	11.9439	-14.8509	18.3825	-1.6791
1272850_D1	IBS		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.1544	0.2813	0.0000	0.0000	0.0144	0.0000	0.0329	0.0000	0.1860	0.0000	0.0000	0.0000	0.1889	0.0000	0.1410	0.0000	0.0000	-1.7032	-11.9252	-5.9030	-7.9895	-1.6506
