#sample_id	predicted_ancestry	given_ancestry	CHB_prob	KHV_prob	CHS_prob	ASW_prob	CDX_prob	YRI_prob	GWD_prob	MXL_prob	ITU_prob	CEU_prob	IBS_prob	GIH_prob	ACB_prob	CLM_prob	LWK_prob	PUR_prob	BEB_prob	FIN_prob	PEL_prob	MSL_prob	ESN_prob	TSI_prob	PJL_prob	GBR_prob	STU_prob	JPT_prob	PC1	PC2	PC3	PC4	PC5
HG00324	FIN	FIN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.1187	0.0141	0.0003	0.0000	0.0013	0.0000	0.0002	0.0000	0.7647	0.0000	0.0000	0.0000	0.0194	0.0014	0.0785	0.0000	0.0000	-2.3581	8.4348	5.8988	9.4419	-12.3761
NA12872	GBR	CEU	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.2747	0.1675	0.0000	0.0000	0.0025	0.0000	0.0033	0.0000	0.0876	0.0000	0.0000	0.0000	0.1257	0.0000	0.3377	0.0000	0.0000	0.0523	12.1943	4.6290	8.2563	-3.6536
HG03460	ESN	MSL	0.0000	0.0000	0.0000	0.0004	0.0000	0.1950	0.1364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0320	0.0000	0.0000	0.0000	0.0000	0.1800	0.4522	0.0000	0.0000	0.0000	0.0000	0.0000	63.6359	-17.2347	-0.2967	2.2475	-1.0580
HG01501	FIN	IBS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.2306	0.0422	0.0000	0.0000	0.0023	0.0000	0.0007	0.0000	0.4731	0.0000	0.0000	0.0000	0.0227	0.0000	0.2277	0.0000	0.0000	4.5189	10.5408	5.5322	10.0527	-4.3411
HG01988	ASW	ACB	0.0000	0.0000	0.0000	0.6672	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.2990	0.0001	0.0002	0.0333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.0260	-2.4229	3.9897	3.9776	-2.5060
NA21100	ITU	GIH	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4058	0.0000	0.0000	0.2317	0.0000	0.0000	0.0000	0.0000	0.0546	0.0000	0.0000	0.0000	0.0000	0.0000	0.0748	0.0000	0.2331	0.0000	1.1008	-5.6771	-19.8225	-5.8631	-6.1165
HG02143	ACB	ACB	0.0000	0.0000	0.0000	0.1851	0.0000	0.0491	0.1264	0.0000	0.0000	0.0000	0.0000	0.0000	0.4471	0.0000	0.1030	0.0000	0.0000	0.0000	0.0000	0.0366	0.0527	0.0000	0.0000	0.0000	0.0000	0.0000	50.6031	-11.4867	0.3526	1.1564	-0.7583
HG00157	FIN	GBR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0106	0.0000	0.1843	0.1456	0.0002	0.0000	0.0210	0.0000	0.0223	0.0000	0.2557	0.0000	0.0000	0.0000	0.2075	0.0006	0.1521	0.0000	0.0000	0.4001	10.9823	6.7450	10.2038	-0.5207
HG01938	PEL	PEL	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0759	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.9237	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-7.9604	-24.0509	24.2928	-40.0229	-1.5971
HG02266	PEL	PEL	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-7.9773	-22.0900	23.7260	-36.1724	-1.7885
HG01896	ESN	ACB	0.0000	0.0000	0.0000	0.0030	0.0000	0.1694	0.1767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0210	0.0000	0.0916	0.0000	0.0000	0.0000	0.0000	0.1487	0.3896	0.0000	0.0000	0.0000	0.0000	0.0000	60.7496	-17.6356	-1.0329	2.2208	-0.4162
HG03730	BEB	ITU	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0435	0.0000	0.0000	0.0048	0.0000	0.0000	0.0000	0.0000	0.8564	0.0000	0.0000	0.0000	0.0000	0.0000	0.0170	0.0000	0.0783	0.0000	1.9851	-10.0003	-22.1647	-6.7891	-1.3485
HG01956	ESN	ACB	0.0000	0.0000	0.0000	0.0197	0.0000	0.1425	0.2296	0.0000	0.0000	0.0000	0.0000	0.0000	0.0680	0.0000	0.1248	0.0000	0.0000	0.0000	0.0000	0.1369	0.2786	0.0000	0.0000	0.0000	0.0000	0.0000	59.7226	-13.0157	1.8213	2.2628	-2.5968
HG01702	IBS	IBS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.1892	0.2719	0.0000	0.0000	0.0012	0.0000	0.0037	0.0000	0.0327	0.0000	0.0000	0.0000	0.2677	0.0000	0.2328	0.0000	0.0000	-0.1906	11.9404	7.4789	10.7402	-3.5534
NA19035	ESN	LWK	0.0000	0.0000	0.0000	0.0010	0.0000	0.1738	0.1581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0084	0.0000	0.0471	0.0000	0.0000	0.0000	0.0000	0.1906	0.4209	0.0000	0.0000	0.0000	0.0000	0.0000	59.1124	-16.8183	-0.5295	1.8032	-3.5484
HG01871	CHS	KHV	0.1782	0.2152	0.3004	0.0000	0.1538	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1524	-5.6754	-43.2695	-0.7966	7.1286	-0.3452
HG00525	CDX	CHS	0.1509	0.2623	0.2429	0.0000	0.2911	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0528	-6.6233	-43.0173	2.9987	8.5179	-0.5490
HG01204	PUR	PUR	0.0000	0.0000	0.0000	0.0037	0.0000	0.0000	0.0000	0.0050	0.0000	0.0019	0.0140	0.0001	0.0010	0.0250	0.0000	0.9274	0.0000	0.0000	0.0000	0.0000	0.0000	0.0199	0.0003	0.0017	0.0000	0.0000	5.7280	4.8518	5.7868	1.9754	5.2082
HG00328	GBR	FIN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0021	0.0000	0.2416	0.2070	0.0000	0.0000	0.0098	0.0000	0.0225	0.0000	0.1099	0.0000	0.0000	0.0000	0.1341	0.0000	0.2731	0.0000	0.0000	-0.7991	10.2999	6.7089	9.7243	-10.4283
HG03258	ESN	GWD	0.0000	0.0000	0.0000	0.0017	0.0000	0.1643	0.1709	0.0000	0.0000	0.0000	0.0000	0.0000	0.0126	0.0000	0.0647	0.0000	0.0000	0.0000	0.0000	0.1739	0.4120	0.0000	0.0000	0.0000	0.0000	0.0000	61.7533	-17.3129	-0.9295	2.4853	-0.9902
HG04054	BEB	ITU	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2554	0.0000	0.0000	0.1912	0.0000	0.0000	0.0000	0.0000	0.2677	0.0000	0.0000	0.0000	0.0000	0.0000	0.0774	0.0000	0.2083	0.0000	2.3743	-9.8698	-22.1475	-6.1679	-2.9456
HG01593	GIH	PJL	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0790	0.0000	0.0000	0.5021	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.3992	0.0000	0.0197	0.0000	1.7521	0.5775	-14.3393	-1.7712	0.0503
HG01510	CEU	IBS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.2199	0.1909	0.0000	0.0000	0.0041	0.0000	0.0060	0.0000	0.1873	0.0000	0.0000	0.0000	0.1764	0.0000	0.2131	0.0000	0.0000	1.4227	11.9000	4.2603	9.6932	1.9962
NA19214	ESN	YRI	0.0000	0.0000	0.0000	0.0004	0.0000	0.1510	0.1583	0.0000	0.0000	0.0000	0.0000	0.0000	0.0045	0.0000	0.0342	0.0000	0.0000	0.0000	0.0000	0.2166	0.4351	0.0000	0.0000	0.0000	0.0000	0.0000	63.1340	-19.0982	0.4102	0.0469	-1.3218
HG00728	KHV	CHS	0.0638	0.4607	0.1365	0.0000	0.2981	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0407	-8.2914	-44.9272	2.0033	7.8959	-1.7887
HG00111	FIN	GBR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.2887	0.0642	0.0000	0.0000	0.0026	0.0000	0.0007	0.0000	0.2947	0.0000	0.0000	0.0000	0.0612	0.0000	0.2863	0.0000	0.0000	0.1696	12.9757	4.0437	6.1251	-2.1410
